,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
22,,2019-10-11T15:14:26.539+03:00,GET,https://www.codecademy.com/webpack/86.f5366290cdb581114495.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,133889,,,-1,-1,224,-1,-1,1,113,104.20.26.250,,339,,
23,,2019-10-11T15:14:26.554+03:00,GET,https://www.codecademy.com/webpack/105.8b6fe0890419a59cf603.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,533,30897,,,-1,-1,84,-1,-1,0,98,104.20.26.250,,183,,
24,,2019-10-11T15:14:26.555+03:00,GET,https://www.codecademy.com/webpack/90.a10a511af448d838153f.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,5278,,,-1,-1,0,-1,-1,0,112,104.20.26.250,,114,,
25,,2019-10-11T15:14:26.555+03:00,GET,https://www.codecademy.com/webpack/108.cb7960b084c79027a9aa.chunk.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,6403,,,-1,-1,3,-1,-1,0,107,104.20.26.250,,111,,
26,,2019-10-11T15:14:26.558+03:00,GET,https://www.codecademy.com/webpack/corporate.94a4c7bb3088d8ecf916.chunk.js,HTTP/1.1,566,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,1499,,,-1,-1,0,-1,-1,0,102,104.20.26.250,,104,,
27,,2019-10-11T15:14:26.628+03:00,GET,https://www.codecademy.com/webpack/4.32bcd637ebb94514c9df.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,550,1751,,,-1,-1,1,-1,-1,0,103,104.20.26.250,,105,,
28,,2019-10-11T15:14:26.678+03:00,GET,https://www.codecademy.com/webpack/7.965b8ef6423f54872b33.chunk.js,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,586,,,-1,-1,0,-1,-1,0,131,104.20.26.250,,132,,
29,,2019-10-11T15:14:26.678+03:00,GET,https://www.codecademy.com/webpack/13.6b221d59632b56ec56fb.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,547,,,-1,-1,0,-1,-1,0,93,104.20.26.250,,94,,
30,,2019-10-11T15:14:26.678+03:00,GET,https://www.codecademy.com/webpack/14.12180932dbcb7ad17774.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,534,15747,,,-1,-1,34,-1,-1,0,103,104.20.26.250,,138,,
31,,2019-10-11T15:14:26.736+03:00,GET,https://www.codecademy.com/webpack/15.e8482dffc4ee74eed7c9.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,224,,,-1,-1,7,-1,-1,0,136,104.20.26.250,,144,,
32,,2019-10-11T15:14:26.742+03:00,GET,https://www.codecademy.com/webpack/16.526f0aff88f506cf37f7.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,974,,,-1,-1,0,-1,-1,0,132,104.20.26.250,,133,,
33,,2019-10-11T15:14:26.777+03:00,GET,https://www.codecademy.com/webpack/17.6d4f2e24c59a0f359930.chunk.js,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,413,,,-1,-1,0,-1,-1,0,111,104.20.26.250,,112,,
34,,2019-10-11T15:14:26.815+03:00,GET,https://www.codecademy.com/webpack/10c6b3611734c6f586a233d41c1cdf46.woff2,HTTP/1.1,640,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,607,38752,,,-1,-1,70,-1,-1,0,104,104.20.26.250,,175,,
