,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T20:16:20.311+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,219,2133,2,66,0,2176,16,104.154.63.26,,2481,
1,,2019-10-08T20:16:20.591+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,192,-1,2,-1,-1,-1,1,104.154.63.26,,196,
2,,2019-10-08T20:16:20.806+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,204,-1,0,-1,-1,-1,0,104.154.63.26,,206,
3,,2019-10-08T20:16:20.958+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,208,326,1,0,0,359,0,104.154.63.26,,569,
4,,2019-10-08T20:16:22.707+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,103,2076,1,1,0,2111,1,172.217.23.138,,2219,value
5,,2019-10-08T20:16:22.708+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,107,2077,0,0,0,2106,1,172.217.23.138,,2215,value
6,,2019-10-08T20:16:22.710+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,106,2078,0,0,0,2113,0,172.217.23.138,,2221,value
7,,2019-10-08T20:16:22.986+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,33576,,,93,2331,0,30,0,2358,66,172.217.18.106,,2549,
8,,2019-10-08T20:16:23.170+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,100,-1,0,-1,-1,-1,0,172.217.23.138,,102,value
9,,2019-10-08T20:16:24.599+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20724,,,92,1334,0,1,0,1369,54,172.217.21.227,,1518,
10,,2019-10-08T20:16:24.601+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,93,1335,0,0,0,1371,53,172.217.21.227,,1520,
11,,2019-10-08T20:16:24.602+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,92,1337,0,1,0,1373,53,172.217.21.227,,1521,
12,,2019-10-08T20:16:24.908+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19947,,,109,1681,0,27,0,1709,46,216.58.207.72,,1893,value
