,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T14:53:17.848+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,920,7019,,,1414,2,629,133,1457,6,0,13.224.132.135,,2229,
1,,2019-10-12T14:53:18.527+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/png,,,619,33679,,,-1,1,97,-1,-1,58,-1,13.224.132.135,,157,
2,,2019-10-12T14:53:18.690+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,639,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,2621,,,-1,0,327,-1,-1,0,-1,13.224.132.135,,328,value
3,,2019-10-12T14:53:19.018+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/jpeg,,,622,212953,,,-1,0,100,-1,-1,168,-1,13.224.132.135,,270,
4,,2019-10-12T14:53:19.627+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,1061,1,97,24,1079,667,0,209.197.3.15,,1870,
5,,2019-10-12T14:53:19.643+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,1072,0,86,31,1090,1647,0,209.197.3.15,,2858,
6,,2019-10-12T14:53:19.877+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,text/css,,,608,18134,,,542,0,142,0,572,1,0,143.204.198.80,,716,
7,,2019-10-12T14:53:19.877+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,614,5704,,,1169,0,97,151,1199,0,0,143.204.198.80,,1449,
8,,2019-10-12T14:53:19.877+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,19359,,,1171,0,95,148,1200,42,0,143.204.198.80,,1488,
9,,2019-10-12T14:53:20.018+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,20680,,,-1,0,122,-1,-1,1,-1,143.204.198.80,,124,
10,,2019-10-12T14:53:20.158+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,text/javascript,,,624,6874,,,-1,0,96,-1,-1,7,-1,143.204.198.80,,104,
11,,2019-10-12T14:53:20.268+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,607,2384,,,-1,0,102,-1,-1,0,-1,143.204.198.80,,103,
12,,2019-10-12T14:53:20.377+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,618,7489,,,-1,0,98,-1,-1,8,-1,143.204.198.80,,107,
13,,2019-10-12T14:53:20.487+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,607,3758,,,-1,0,97,-1,-1,0,-1,143.204.198.80,,98,
14,,2019-10-12T14:53:20.580+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,611,112469,,,-1,0,90,-1,-1,123,-1,143.204.198.80,,213,
15,,2019-10-12T14:53:20.799+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,image/png,,,619,59060,,,-1,0,108,-1,-1,25,-1,143.204.198.80,,134,
16,,2019-10-12T14:53:22.565+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,627,4398,,,1497,1,122,90,1519,2,0,104.25.51.33,,1735,
