,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:21:55.409+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,0,6346,15,1,2,6303,203,104.154.63.26,,6569,
1,,2019-10-12T08:21:55.668+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,-1,0,-1,1,-1,199,104.154.63.26,,202,
2,,2019-10-12T08:21:55.875+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,-1,0,-1,0,-1,192,104.154.63.26,,193,
3,,2019-10-12T08:21:56.034+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,358,0,0,0,324,195,104.154.63.26,,556,
4,,2019-10-12T08:21:56.786+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,0,1084,1,30,1,1058,104,172.217.23.138,,1223,value
5,,2019-10-12T08:21:56.787+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,0,1085,0,30,0,1067,109,172.217.23.138,,1227,value
6,,2019-10-12T08:21:56.789+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,0,1086,0,25,0,1060,108,172.217.23.138,,1222,value
7,,2019-10-12T08:21:56.934+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33576,,,0,1255,57,3,0,1224,96,172.217.16.202,,1414,
8,,2019-10-12T08:21:57.118+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,-1,0,-1,0,-1,96,172.217.23.138,,97,value
9,,2019-10-12T08:21:59.534+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,0,2413,51,0,0,2381,99,216.58.207.72,,2565,value
10,,2019-10-12T08:21:59.627+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20724,,,0,2444,54,0,0,2408,98,172.217.22.3,,2597,
11,,2019-10-12T08:21:59.653+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20808,,,0,2470,77,0,0,2434,96,172.217.22.3,,2644,
12,,2019-10-12T08:21:59.655+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20872,,,0,2472,52,0,0,2436,91,172.217.22.3,,2617,
13,,2019-10-12T08:22:01.466+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,1764,32,0,0,1735,89,216.58.206.14,,1887,
14,,2019-10-12T08:22:01.614+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=618998620&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=1691458744&gjid=1171882251&cid=459548844.1570857722&tid=UA-146934170-1&_gid=309983356.1570857722&_r=1&gtm=2wga21M2XBJ29&z=1391854926,HTTP/1.1,704,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,-1,1,-1,93,216.58.206.14,,95,value
