,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name
19,,2019-10-11T17:55:03.075+03:00,GET,https://cdnssl.clicktale.net/www/monitor-latest.js,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,19662,,,223,220,0,0,813,0,193,104.82.118.247,,1258,
20,,2019-10-11T17:55:03.083+03:00,GET,https://cdnssl.clicktale.net/www12/pcc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js?DeploymentConfigName=Release_20190220&Version=2,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,308,17707,,,231,113,0,0,832,0,194,104.82.118.247,,1179,value
21,,2019-10-11T17:55:04.034+03:00,GET,https://cdnssl.clicktale.net/www/WR-latest.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,18689,,,-1,435,-1,-1,1862,0,-1,104.82.118.247,,2298,
22,,2019-10-11T17:55:04.888+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p17317566_p_v13_aa.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,44077,,,4596,138,0,240,88,0,4526,143.204.192.99,,5065,
23,,2019-10-11T17:55:04.895+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16240503_p_v13_ac.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,36108,,,4608,129,0,222,88,0,4533,143.204.192.99,,5049,
24,,2019-10-11T17:55:04.915+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16835712_p_v13_ad.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,39685,,,4628,54,0,235,155,1,4592,143.204.192.99,,5076,
25,,2019-10-11T17:55:04.916+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13864403_p_v13_as.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,23404,,,4624,2,0,240,151,0,4553,143.204.192.99,,5019,
26,,2019-10-11T17:55:04.948+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,439,45753,,,4975,99,0,28,74,0,4939,212.55.188.52,,5178,
27,,2019-10-11T17:55:04.948+03:00,GET,https://consent.truste.com/notice?domain=fandango.com&c=teconsent&js=bb&noticeType=bb,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript;charset=ISO-8859-1,,,555,87,,,5136,0,0,37,118,0,5099,13.224.132.2,,5294,value
28,,2019-10-11T17:55:04.950+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg,HTTP/1.1,634,0,,200,OK,HTTP/1.1,0,image/jpeg,,,450,11575,,,4659,0,0,226,104,0,4625,143.204.192.99,,4990,
