,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T16:02:15.148+03:00,GET,https://www.whatshouldireadnext.com/,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,417,10330,,,0,1610,14,2,111,1567,644,217.160.0.94,,2383,
1,,2019-10-12T16:02:15.861+03:00,GET,https://www.whatshouldireadnext.com/wsirn.css,HTTP/1.1,441,0,,200,OK,HTTP/1.1,0,text/css,,,265,10315,,,-1,-1,8,1,-1,-1,142,217.160.0.94,,152,
2,,2019-10-12T16:02:16.025+03:00,GET,https://www.whatshouldireadnext.com/mobile.css,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,text/css,,,264,6539,,,-1,-1,1,2,-1,-1,127,217.160.0.94,,131,
3,,2019-10-12T16:02:16.172+03:00,GET,https://www.whatshouldireadnext.com/ads/css/uss.css,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,text/css,,,264,7256,,,-1,-1,0,2,-1,-1,124,217.160.0.94,,127,
4,,2019-10-12T16:02:16.188+03:00,GET,https://www.whatshouldireadnext.com/javascript/fixioslabels.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,427,,,0,322,0,1,0,288,121,217.160.0.94,,446,
5,,2019-10-12T16:02:16.210+03:00,GET,https://www.whatshouldireadnext.com/javascript/checky.js,HTTP/1.1,437,0,,200,OK,HTTP/1.1,0,application/javascript,,,276,525,,,0,343,0,2,0,306,110,217.160.0.94,,456,
6,,2019-10-12T16:02:16.210+03:00,GET,https://www.whatshouldireadnext.com/images/logo.png,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/png,,,264,2993,,,0,348,0,1,0,312,153,217.160.0.94,,504,
7,,2019-10-12T16:02:16.210+03:00,GET,https://www.whatshouldireadnext.com/ads/js/uss-jsonp.js,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/javascript,,,278,4294,,,0,347,0,1,0,312,213,217.160.0.94,,563,
8,,2019-10-12T16:02:17.792+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,32954,,,0,1887,68,0,39,1861,101,172.217.22.74,,2097,
9,,2019-10-12T16:02:19.133+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,0,1034,37,0,33,1005,119,216.58.210.8,,1225,
