,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time
0,,2019-10-11T14:19:28.332+03:00,GET,https://www.ineedaprompt.com/,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,270,14112,,,243,238,3,1817,1852,16,0,192.241.177.50,,2354
1,,2019-10-11T14:19:28.622+03:00,GET,https://www.ineedaprompt.com/styles.css,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,327,5635,,,176,-1,1,-1,-1,0,-1,192.241.177.50,,178
2,,2019-10-11T14:19:28.805+03:00,GET,https://www.ineedaprompt.com/ineedaprompt.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,7890,,,175,-1,0,-1,-1,1,-1,192.241.177.50,,178
3,,2019-10-11T14:19:28.933+03:00,GET,https://www.ineedaprompt.com/script.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,application/javascript,,,326,4454,,,175,0,3,270,305,1,0,192.241.177.50,,485
