,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T20:15:31.846+03:00,GET,http://www.shadyurl.com/,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/html,,,220,1398,,,3,246,-1,172,22,0,51,45.55.57.141,,496,,
1,,2019-10-08T20:15:32.400+03:00,GET,http://www.shadyurl.com/layout/shady.css,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,text/css,,,282,1259,,,5,165,-1,-1,1,-1,-1,45.55.57.141,,173,,
2,,2019-10-08T20:15:32.407+03:00,GET,http://www.shadyurl.com/images/header.gif,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,image/gif,,,232,4646,,,1,249,-1,3,1,0,31,45.55.57.141,,285,,
3,,2019-10-08T20:15:32.408+03:00,GET,http://pagead2.googlesyndication.com/pagead/show_ads.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,537,28228,,,1,123,-1,37,63,0,28,172.217.16.162,,253,,
4,,2019-10-08T20:15:32.648+03:00,GET,http://www.shadyurl.com/images/submitbtn.gif,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,image/gif,,,231,2024,,,0,155,-1,-1,0,-1,-1,45.55.57.141,,157,,
5,,2019-10-08T20:15:36.342+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,355,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2,153,3872,0,1,0,3903,172.217.18.4,,4062,,
6,,2019-10-08T20:15:36.356+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,1,114,3546,0,129,0,3587,172.217.16.162,,3832,,
7,,2019-10-08T20:15:36.656+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,400,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,107,-1,-1,74,-1,-1,172.217.16.162,,182,,
8,,2019-10-08T20:15:36.778+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,388,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,1,106,3925,52,1,0,3959,172.217.16.130,,4121,value,
9,,2019-10-08T20:15:36.801+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shadyurl.com,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,99,3966,37,0,0,3998,172.217.16.162,,4136,value,
