,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.send,timings.ssl,timings.dns,serverIPAddress,comment,time,request.queryString.name
16,,2019-10-08T17:50:08.746+03:00,GET,https://www.codecademy.com/webpack/90.d803e06b6ca2b421f9ad.chunk.css,HTTP/1.1,1196,0,,200,OK,HTTP/1.1,0,text/css,,,533,653,,,0,-1,-1,98,0,-1,-1,104.20.26.250,,99,
17,,2019-10-08T17:50:08.746+03:00,GET,https://www.codecademy.com/webpack/109.e96df2b662230d8d1849.chunk.css,HTTP/1.1,1197,0,,200,OK,HTTP/1.1,0,text/css,,,534,1250,,,0,-1,-1,95,0,-1,-1,104.20.26.250,,97,
18,,2019-10-08T17:50:08.793+03:00,GET,https://www.codecademy.com/webpack/156.ea4a780c80a2b836eaf7.chunk.css,HTTP/1.1,1197,0,,200,OK,HTTP/1.1,0,text/css,,,533,477,,,0,-1,-1,107,0,-1,-1,104.20.26.250,,109,
19,,2019-10-08T17:50:08.831+03:00,GET,https://www.codecademy.com/webpack/188.517988f27f5ab80c5e96.chunk.css,HTTP/1.1,1197,0,,200,OK,HTTP/1.1,0,text/css,,,534,1124,,,0,-1,-1,91,1,-1,-1,104.20.26.250,,93,
20,,2019-10-08T17:50:08.850+03:00,GET,https://www.codecademy.com/webpack/corporate-scenes-Landing.8e123beca1a22926b8a3.chunk.css,HTTP/1.1,1218,0,,200,OK,HTTP/1.1,0,text/css,,,534,3052,,,0,-1,-1,104,1,-1,-1,104.20.26.250,,106,
21,,2019-10-08T17:50:08.968+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,25,-1,-1,81,0,-1,-1,172.217.22.110,,108,
22,,2019-10-08T17:50:08.970+03:00,GET,https://cdn.segment.com/analytics.js/v1/awTEDiBEJ130cCHG1N74clKHGM3FLNzQ/analytics.min.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,727,65949,,,283,-1,-1,378,0,-1,-1,13.226.1.80,,663,
23,,2019-10-08T17:50:09.043+03:00,GET,https://www.codecademy.com/webpack/GTMUserSignUp.969b875bc3e9669319a6.chunk.js,HTTP/1.1,1191,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,549,268,,,0,-1,-1,93,0,-1,-1,104.20.26.250,,94,
24,,2019-10-08T17:50:09.133+03:00,POST,https://www.codecademy.com/events/ad?authentication_token=,HTTP/1.1,1313,747,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,930,41,,,0,-1,-1,216,0,-1,-1,104.20.26.250,,217,value
25,,2019-10-08T17:50:09.134+03:00,POST,https://www.codecademy.com/events/user?authentication_token=,HTTP/1.1,1315,729,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,930,41,,,0,-1,-1,222,0,-1,-1,104.20.26.250,,223,value
26,,2019-10-08T17:50:09.135+03:00,GET,https://www.google.com/recaptcha/api.js?onload=onloadcallback&render=explicit,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,486,,,4,4281,0,96,0,4252,29,172.217.18.4,,4411,value
27,,2019-10-08T17:50:09.171+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-KT2Q6GQ&cid=1474114470.1570546198,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,21322,,,36,-1,-1,96,0,-1,-1,172.217.22.110,,133,value
28,,2019-10-08T17:50:09.689+03:00,POST,https://api.segment.io/v1/p,HTTP/1.1,427,859,,200,OK,HTTP/1.1,0,application/json,,,205,21,,,0,-1,-1,238,0,-1,-1,52.25.152.156,,239,
29,,2019-10-08T17:50:09.696+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-KTLK85W&l=dataLayer,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,26558,,,49,-1,-1,82,0,-1,-1,216.58.207.72,,133,value
30,,2019-10-08T17:50:09.697+03:00,GET,https://www.fullstory.com/s/fs.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,application/javascript,,,451,68410,,,52,-1,-1,98,0,-1,-1,172.217.22.115,,151,
31,,2019-10-08T17:50:09.705+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=402774911&t=pageview&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&dr=&dp=%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=SCCAgEAjQ~&jid=&gjid=&cid=1474114470.1570546198&tid=UA-25136408-1&_gid=551888274.1570546198&z=1793773064,HTTP/1.1,704,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,0,-1,-1,73,0,-1,-1,172.217.22.110,,74,value
32,,2019-10-08T17:50:09.851+03:00,GET,https://bat.bing.com/bat.js,HTTP/1.1,433,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,7148,,,1,-1,-1,105,0,-1,-1,13.107.21.200,,108,
33,,2019-10-08T17:50:09.852+03:00,GET,https://assets.customer.io/assets/track.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,1431,,,0,152,0,85,0,125,0,108.161.187.71,,238,
34,,2019-10-08T17:50:09.854+03:00,GET,https://static.hotjar.com/c/hotjar-451715.js?sv=5,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,application/javascript,,,613,2280,,,0,-1,-1,99,0,-1,-1,147.75.85.25,,100,value
35,,2019-10-08T17:50:09.860+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=402774911&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=800x600&vp=779x600&je=0&ec=optimize&ea=timeout&_u=SCCAAEAjQ~&jid=&gjid=&cid=1474114470.1570546198&tid=UA-25136408-1&_gid=551888274.1570546198&gtm=2wg9p0KTLK85W&z=759144699,HTTP/1.1,735,0,,200,OK,HTTP/1.1,0,image/gif,,,480,35,,,0,-1,-1,91,0,-1,-1,172.217.22.110,,92,value
36,,2019-10-08T17:50:09.963+03:00,GET,https://script.hotjar.com/modules.a9bba3851ad49b2c38e7.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,74019,,,139,-1,-1,96,0,-1,-1,147.75.101.51,,235,
37,,2019-10-08T17:50:09.967+03:00,GET,https://bat.bing.com/action/0?ti=39000277&Ver=2&mid=7cc2853b-59a5-3183-e8cc-afdabc9c4421&pi=0&lg=en-US&sw=800&sh=600&sc=24&tl=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&p=https%3A%2F%2Fwww.codecademy.com%2F&r=&lt=2336&evt=pageLoad&msclkid=N&rn=260850,HTTP/1.1,703,0,,204,No Content,HTTP/1.1,0,,,,300,0,,,0,-1,-1,102,0,-1,-1,13.107.21.200,,103,value
38,,2019-10-08T17:50:10.014+03:00,GET,https://vars.hotjar.com/box-90f3a29ef7448451db5af955688970d7.html,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,text/html,,,435,787,,,0,-1,-1,93,0,-1,-1,147.75.84.181,,93,
39,,2019-10-08T17:50:10.091+03:00,GET,https://connect.facebook.net/signals/config/1036078779778355?v=2.9.4&r=stable,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,1177,79816,,,115,222,0,106,0,184,0,31.13.92.14,,444,value
40,,2019-10-08T17:50:10.333+03:00,GET,https://connect.facebook.net/signals/plugins/inferredEvents.js?v=2.9.4,HTTP/1.1,389,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,578,10218,,,0,-1,-1,94,0,-1,-1,31.13.92.14,,96,value
41,,2019-10-08T17:50:10.596+03:00,GET,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/861461659/?random=1570546209861&cv=9&fst=1570546209861&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wg9p0&sendb=1&ig=1&frm=0&url=https%3A%2F%2Fwww.codecademy.com%2F&tiba=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&async=1&rfmt=3&fmt=4,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,1031,939,,,1,4440,0,94,0,4408,35,172.217.23.130,,4572,value
42,,2019-10-08T17:50:10.640+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,134,1395,0,96,0,1369,0,172.217.22.35,,1627,
43,,2019-10-08T17:50:10.700+03:00,GET,https://www.google.com/pagead/1p-user-list/861461659/?random=1570546209861&cv=9&fst=1570543200000&num=1&guid=ON&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_his=2&u_tz=180&u_java=false&u_nplug=0&u_nmime=0&gtm=2wg9p0&sendb=1&frm=0&url=https%3A%2F%2Fwww.codecademy.com%2F&tiba=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&async=1&fmt=3&is_vtc=1&random=3116544564&resp=GooglemKTybQhCsO&rmt_tld=0&ipr=y,HTTP/1.1,761,0,,200,OK,HTTP/1.1,0,image/gif,,,610,42,,,0,-1,-1,101,0,-1,-1,172.217.18.4,,102,value
44,,2019-10-08T17:50:10.714+03:00,GET,https://idsync.rlcdn.com/458359.gif?partner_uid=*RMUID*,HTTP/1.1,410,0,,307,Temporary Redirect,HTTP/1.1,0,,,https://idsync.rlcdn.com/1000.gif?memo=CPf8GxITCg8IARCd5gEaBypSTVVJRCoQABoNCLXM8uwFEgUI6AcQAEIASgA,638,0,,,0,2900,0,197,0,2870,27,35.190.72.21,,3127,value
