,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-09-28T18:46:28.098+03:00,GET,https://www.flixster.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,916,22375,,,0,2972,22,3228,2892,247,2,95.101.161.205,,6474,,
1,,2019-09-28T18:46:31.369+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/BoxOfficePage.js,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,980,6862,,,-1,-1,0,403,-1,-1,1,95.101.161.205,,404,,
2,,2019-09-28T18:46:31.470+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/_app.js,HTTP/1.1,547,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1125,24399,,,0,85,18,43,41,0,1,95.101.161.205,,148,,
3,,2019-09-28T18:46:31.470+03:00,GET,https://www.flixster.com/_next/static/runtime/webpack-3df6523e264ff2ac6548.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,978,738,,,0,90,0,303,45,0,1,95.101.161.205,,396,,
4,,2019-09-28T18:46:31.471+03:00,GET,https://www.flixster.com/_next/static/chunks/commons.586d48eef463613fcacf.js,HTTP/1.1,550,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1127,348718,,,0,87,612,47,43,0,2,95.101.161.205,,749,,
5,,2019-09-28T18:46:31.472+03:00,GET,https://www.flixster.com/_next/static/runtime/main-4948c83ba21cd5469cba.js,HTTP/1.1,548,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,1124,4918,,,0,89,0,44,44,0,1,95.101.161.205,,136,,
6,,2019-09-28T18:46:31.473+03:00,GET,https://www.flixster.com/static/logo/logo_Desktop.svg,HTTP/1.1,563,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1100,214320,,,0,89,425,59,40,0,1,95.101.161.205,,575,,
7,,2019-09-28T18:46:31.528+03:00,GET,https://www.flixster.com/static/fonts/proximanova-regular-webfont.woff2,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,1060,22144,,,-1,-1,25,81,-1,-1,0,95.101.161.205,,107,,
8,,2019-09-28T18:46:31.540+03:00,GET,https://www.flixster.com/static/fonts/proximanova-semibold-webfont.woff2,HTTP/1.1,577,0,,200,OK,HTTP/1.1,0,application/font-woff2,,,915,21576,,,-1,-1,37,56,-1,-1,0,95.101.161.205,,95,,
9,,2019-09-28T18:46:31.639+03:00,GET,https://www.flixster.com/static/logo/logo_Mobile.svg,HTTP/1.1,562,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1100,206694,,,-1,-1,389,104,-1,-1,0,95.101.161.205,,494,,
10,,2019-09-28T18:46:33.042+03:00,GET,https://www.flixster.com/_next/static/vm9kI1s0jr_1iw3a-FUfa/pages/NewsPage.js,HTTP/1.1,551,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,980,2035,,,-1,-1,0,164,-1,-1,1,95.101.161.205,,166,,
