,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T16:33:08.388+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,-1,106,-1,-1,-1,0,94,31.13.92.14,,201,value,
19,facebook,2019-10-08T16:33:08.389+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,-1,132,-1,-1,-1,0,94,31.13.92.14,,227,value,
20,facebook,2019-10-08T16:33:11.996+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,-1,22,-1,-1,-1,0,103,31.13.92.14,,127,value,
21,facebook,2019-10-08T16:33:11.998+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,-1,6,-1,-1,-1,0,96,31.13.92.14,,103,value,
22,facebook,2019-10-08T16:33:11.998+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,-1,4,-1,-1,-1,0,99,31.13.92.14,,105,value,
23,facebook,2019-10-08T16:33:11.998+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,-1,107,-1,-1,-1,0,113,31.13.92.14,,221,value,
24,facebook,2019-10-08T16:33:12.000+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,13,-1,-1,-1,0,96,31.13.92.14,,110,value,
25,facebook,2019-10-08T16:33:12.015+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,-1,5,-1,-1,-1,0,103,31.13.92.14,,109,value,
26,facebook,2019-10-08T16:33:12.027+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3884,0,0,33,3856,0,123,31.13.92.36,,4043,,
27,facebook,2019-10-08T16:33:12.099+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,-1,105,-1,-1,-1,0,90,31.13.92.14,,196,value,
