,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:08:18.286+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31799,,,2,2702,80,259,72,0,2744,31.13.92.36,,3159,,
1,facebook,2019-10-08T16:08:20.568+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,1,1792,28,118,81,0,1830,31.13.92.14,,2060,value,
2,facebook,2019-10-08T16:08:20.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,1807,34,97,20,0,1846,31.13.92.14,,1999,value,
3,facebook,2019-10-08T16:08:20.584+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,0,1810,27,97,77,0,1849,31.13.92.14,,2051,value,
4,facebook,2019-10-08T16:08:20.600+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,1,1819,30,118,7,0,1857,31.13.92.14,,2015,value,
5,facebook,2019-10-08T16:08:20.615+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,0,1828,28,116,0,0,1867,31.13.92.14,,2013,value,
6,facebook,2019-10-08T16:08:20.615+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,0,1829,28,114,1,0,1869,31.13.92.14,,2013,value,
7,facebook,2019-10-08T16:08:20.740+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,1,-1,-1,90,1,-1,-1,31.13.92.14,,92,value,
8,facebook,2019-10-08T16:08:20.740+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,1,-1,-1,88,2,-1,-1,31.13.92.14,,92,value,
9,facebook,2019-10-08T16:08:20.740+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,1,-1,-1,84,99,-1,-1,31.13.92.14,,185,value,
10,facebook,2019-10-08T16:08:20.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,1,215,0,100,64,0,240,31.13.92.14,,406,,
11,facebook,2019-10-08T16:08:21.030+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,1,209,0,107,0,0,247,31.13.92.14,,357,,
12,facebook,2019-10-08T16:08:21.143+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,1,-1,-1,98,186,-1,-1,31.13.92.14,,285,,
13,facebook,2019-10-08T16:08:21.171+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,0,-1,-1,90,9,-1,-1,31.13.92.14,,100,,
14,facebook,2019-10-08T16:08:21.276+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,-1,-1,93,1,-1,-1,31.13.92.14,,95,,
15,facebook,2019-10-08T16:08:21.290+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,1,124,0,114,32,0,151,31.13.92.14,,299,,
16,facebook,2019-10-08T16:08:21.440+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,0,-1,-1,102,167,-1,-1,31.13.92.14,,270,value,
17,facebook,2019-10-08T16:08:21.910+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yC/r/5jknhq0ezH4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9837,,,0,-1,-1,100,9,-1,-1,31.13.92.14,,110,value,
18,facebook,2019-10-08T16:08:21.911+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,-1,116,1,-1,-1,31.13.92.14,,117,value,
19,facebook,2019-10-08T16:08:21.912+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,0,-1,-1,121,41,-1,-1,31.13.92.14,,163,value,
20,facebook,2019-10-08T16:08:21.912+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCqo4/yT/l/he_IL/8600ZvSyCMD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,21685,,,0,-1,-1,110,42,-1,-1,31.13.92.14,,153,value,
21,facebook,2019-10-08T16:08:21.912+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/ye/l/he_IL/ZVuz92lEEOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,26707,,,0,-1,-1,118,47,-1,-1,31.13.92.14,,166,value,
