,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T14:13:55.988+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,0,-1,97,-1,-1,82,157.240.1.23,,179,value,
19,facebook,2019-10-11T14:13:55.990+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,0,-1,99,-1,-1,4,157.240.1.23,,104,value,
20,facebook,2019-10-11T14:13:55.992+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,-1,0,-1,88,-1,-1,34,157.240.1.23,,123,value,
21,facebook,2019-10-11T14:13:55.993+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,0,-1,83,-1,-1,3,157.240.1.23,,88,value,
22,facebook,2019-10-11T14:13:56.086+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,-1,0,-1,90,-1,-1,58,157.240.1.23,,149,value,
23,facebook,2019-10-11T14:13:56.102+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,-1,0,-1,92,-1,-1,2,157.240.1.23,,95,value,
24,facebook,2019-10-11T14:13:56.103+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,0,-1,88,-1,-1,3,157.240.1.23,,92,value,
25,facebook,2019-10-11T14:13:56.119+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yH/l/he_IL/AXXOjWBNuBI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17815,,,-1,0,-1,99,-1,-1,24,157.240.1.23,,125,value,
26,facebook,2019-10-11T14:13:56.123+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,1,-1,112,-1,-1,0,157.240.1.35,,114,,
27,facebook,2019-10-11T14:13:56.173+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,0,-1,93,-1,-1,1,157.240.1.23,,95,value,
