,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.connect,timings.blocked,timings.receive,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T18:19:55.278+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,0,-1,-1,144,94,-1,-1,31.13.92.14,,239,value,
19,facebook,2019-10-08T18:19:55.279+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/y4/l/he_IL/V6m9_fjueG0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136839,,,0,-1,-1,125,103,-1,-1,31.13.92.14,,228,value,
20,facebook,2019-10-08T18:19:57.625+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1,2596,0,0,135,36,2567,31.13.92.36,,2770,,
21,facebook,2019-10-08T18:19:57.631+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,0,-1,-1,0,131,-1,-1,31.13.92.14,,132,value,
22,facebook,2019-10-08T18:19:57.632+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,0,-1,-1,41,102,-1,-1,31.13.92.14,,144,value,
23,facebook,2019-10-08T18:19:57.633+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,0,-1,-1,24,92,-1,-1,31.13.92.14,,117,value,
24,facebook,2019-10-08T18:19:57.634+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,0,-1,-1,17,94,-1,-1,31.13.92.14,,113,value,
25,facebook,2019-10-08T18:19:57.634+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,0,-1,-1,97,121,-1,-1,31.13.92.14,,219,value,
26,facebook,2019-10-08T18:19:57.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,0,-1,-1,10,99,-1,-1,31.13.92.14,,110,value,
27,facebook,2019-10-08T18:19:57.782+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,0,-1,-1,77,113,-1,-1,31.13.92.14,,190,value,
28,facebook,2019-10-08T18:19:57.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,0,-1,-1,132,107,-1,-1,31.13.92.14,,241,value,
29,facebook,2019-10-08T18:19:57.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,0,-1,-1,31,96,-1,-1,31.13.92.14,,128,value,
30,facebook,2019-10-08T18:19:57.783+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,0,-1,-1,0,119,-1,-1,31.13.92.14,,120,value,
31,facebook,2019-10-08T18:19:57.787+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,0,-1,-1,5,122,-1,-1,31.13.92.14,,128,value,
32,facebook,2019-10-08T18:19:57.803+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,138,-1,-1,31.13.92.36,,139,,
33,facebook,2019-10-08T18:19:57.859+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,0,-1,-1,3,92,-1,-1,31.13.92.14,,95,value,
34,facebook,2019-10-08T18:19:57.947+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,138,-1,-1,31.13.92.36,,140,,
35,facebook,2019-10-08T18:19:58.055+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,100,-1,-1,31.13.92.14,,101,,
36,facebook,2019-10-08T18:20:00.542+03:00,GET,https://cx.atdmt.com/?f=AYwcbBcnBJe_kMEfelEOYuf1i5Q7pH6RE5G3lmjjB-5uzdYZxsXg_3M9l7xyU7pwKHKtFUGRi9JC2Hatu4eKsk5F&c=349010929&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,2282,0,0,136,32,2253,31.13.92.2,,2451,value,
37,facebook,2019-10-08T18:20:02.011+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44053,,,0,3751,0,132,200,34,3723,31.13.92.36,,4120,value,
38,facebook,2019-10-08T18:20:02.236+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,0,97,-1,-1,31.13.92.14,,98,value,
39,facebook,2019-10-08T18:20:02.237+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,157,0,117,97,0,133,31.13.92.14,,372,value,
40,facebook,2019-10-08T18:20:02.237+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,0,-1,-1,61,111,-1,-1,31.13.92.14,,173,value,
41,facebook,2019-10-08T18:20:02.271+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,0,-1,-1,4,99,-1,-1,31.13.92.14,,103,value,
42,facebook,2019-10-08T18:20:03.880+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1609,0,3,99,33,1579,172.217.18.4,,1747,,
43,facebook,2019-10-08T18:20:04.105+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,0,-1,-1,26,90,-1,-1,31.13.92.14,,117,value,
44,facebook,2019-10-08T18:20:04.109+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,0,-1,-1,2,89,-1,-1,31.13.92.14,,93,value,
45,facebook,2019-10-08T18:20:04.109+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,0,180,0,147,128,0,146,31.13.92.14,,457,value,
46,facebook,2019-10-08T18:20:04.109+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,1,160,0,157,130,0,128,31.13.92.14,,450,value,
47,facebook,2019-10-08T18:20:04.110+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,0,-1,-1,70,86,-1,-1,31.13.92.14,,157,value,
48,facebook,2019-10-08T18:20:04.110+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,0,-1,-1,17,119,-1,-1,31.13.92.14,,136,value,
49,facebook,2019-10-08T18:20:04.267+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,0,-1,-1,82,104,-1,-1,31.13.92.14,,186,value,
50,facebook,2019-10-08T18:20:05.362+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,1304,0,137,102,32,1266,172.217.22.35,,1577,,
51,facebook,2019-10-08T18:20:05.629+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=14fe6tbiy1mu,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9560,,,0,-1,-1,35,114,-1,-1,172.217.18.4,,150,value,
52,facebook,2019-10-08T18:20:05.787+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,-1,47,94,-1,-1,172.217.22.35,,142,,
53,facebook,2019-10-08T18:20:05.935+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,-1,-1,55,98,-1,-1,172.217.22.35,,154,,
54,facebook,2019-10-08T18:20:06.122+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,-1,-1,16,95,-1,-1,172.217.18.4,,112,,
55,facebook,2019-10-08T18:20:06.237+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=i28egbgeaync,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,-1,-1,0,102,-1,-1,172.217.18.4,,103,value,
56,facebook,2019-10-08T18:20:06.243+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2887,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,-1,-1,0,178,-1,-1,31.13.92.36,,180,,
57,facebook,2019-10-08T18:20:06.280+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,154,0,0,102,0,114,172.217.18.4,,258,value,
58,facebook,2019-10-08T18:20:06.409+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,172.217.22.35,,0,,No response received
