,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,response._error
17,facebook,2019-09-28T19:20:38.951+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,99,0,-1,-1,-1,-1,29,157.240.1.23,,130,
18,facebook,2019-09-28T19:20:38.954+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,103,0,-1,-1,-1,-1,16,157.240.1.23,,120,
19,facebook,2019-09-28T19:20:38.967+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,645,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1269,55,,,122,1,-1,-1,-1,-1,3,157.240.1.35,,126,
20,facebook,2019-09-28T19:20:38.984+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,111,1,-1,-1,-1,-1,0,157.240.1.23,,113,
21,facebook,2019-09-28T19:20:39.095+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,395,1,-1,-1,-1,-1,383,157.240.1.23,,780,
22,facebook,2019-09-28T19:20:39.103+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,110,1,-1,-1,-1,-1,19,157.240.1.23,,131,
23,facebook,2019-09-28T19:20:39.113+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,115,1,-1,-1,-1,-1,19,157.240.1.23,,135,
24,facebook,2019-09-28T19:20:39.268+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,95,2,-1,-1,-1,-1,11,157.240.1.23,,109,
25,facebook,2019-09-28T19:20:39.270+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,104,0,-1,-1,-1,-1,11,157.240.1.23,,116,
26,facebook,2019-09-28T19:20:39.286+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,109,1,0,523,653,0,5,157.240.1.23,,769,
27,facebook,2019-09-28T19:20:40.062+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,95,0,-1,-1,-1,-1,1,157.240.1.23,,97,
28,facebook,2019-09-28T19:20:40.157+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,521,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,138,1,1139,5174,5298,0,1,157.240.1.35,,6578,
29,facebook,2019-09-28T19:20:48.074+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,2947,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,108,0,-1,-1,-1,-1,0,157.240.1.35,,110,
30,facebook,2019-09-28T19:20:50.230+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43117,,,181,1,23,10606,10712,0,273,157.240.1.35,,11192,
31,facebook,2019-09-28T19:20:50.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,101,1,-1,-1,-1,-1,1,157.240.1.23,,104,
32,facebook,2019-09-28T19:20:50.460+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,99,0,-1,-1,-1,-1,35,157.240.1.23,,135,
33,facebook,2019-09-28T19:20:50.466+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,114,1,-1,-1,-1,-1,333,157.240.1.23,,450,
34,facebook,2019-09-28T19:20:50.468+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,124,1,-1,-1,-1,-1,702,157.240.1.23,,828,
35,facebook,2019-09-28T19:20:52.103+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,78,1,1,1560,1638,0,2,216.58.205.228,,1723,
36,facebook,2019-09-28T19:20:52.413+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,112,0,-1,-1,-1,-1,464,157.240.1.23,,578,
37,facebook,2019-09-28T19:20:52.417+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,174,0,-1,-1,-1,-1,66,157.240.1.23,,241,
38,facebook,2019-09-28T19:20:52.420+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,120,0,-1,-1,-1,-1,20,157.240.1.23,,142,
39,facebook,2019-09-28T19:20:52.422+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,118,0,-1,-1,-1,-1,3,157.240.1.23,,122,
40,facebook,2019-09-28T19:20:55.114+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,121,0,112,2712,2787,0,700,172.217.23.163,,3721,
41,facebook,2019-09-28T19:20:56.004+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=gpun86jlzz9s,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9461,,,109,0,-1,-1,-1,-1,21,216.58.205.228,,131,
42,facebook,2019-09-28T19:20:56.144+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,69,0,-1,-1,-1,-1,416,172.217.23.163,,487,
43,facebook,2019-09-28T19:20:56.294+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,153,0,0,75,146,0,877,172.217.23.163,,1178,
44,facebook,2019-09-28T19:20:57.710+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,65,1,-1,-1,-1,-1,10,216.58.205.228,,77,
45,facebook,2019-09-28T19:20:57.798+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,107,1,-1,-1,-1,-1,3,216.58.205.228,,112,
46,facebook,2019-09-28T19:20:58.426+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,70,1,-1,-1,-1,-1,155,172.217.23.163,,227,
47,facebook,2019-09-28T19:20:58.777+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=z40rjvx3ltri,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1123,,,124,0,-1,-1,-1,-1,4,216.58.205.228,,129,
48,facebook,2019-09-28T19:20:59.388+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,154,0,-1,-1,-1,-1,81,172.217.23.163,,237,
49,facebook,2019-09-28T19:20:59.743+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=9b8kho%3Aakf6v8%3A4e7yl9&__hsi=6741761498590719494-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569688669,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,157.240.1.35,,0,No response received
