,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T08:04:38.969+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,101,0,-1,-1,8,-1,157.240.1.23,,110,value,
19,facebook,2019-10-12T08:04:38.969+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16033,,,-1,104,0,-1,-1,8,-1,157.240.1.23,,113,value,
20,facebook,2019-10-12T08:04:38.971+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,-1,95,0,-1,-1,4,-1,157.240.1.23,,100,value,
21,facebook,2019-10-12T08:04:39.077+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38622,,,-1,93,0,-1,-1,63,-1,157.240.1.23,,157,value,
22,facebook,2019-10-12T08:04:39.082+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4096,,,-1,107,0,-1,-1,2,-1,157.240.1.23,,109,value,
23,facebook,2019-10-12T08:04:39.086+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,-1,102,0,-1,-1,5,-1,157.240.1.23,,109,value,
24,facebook,2019-10-12T08:04:39.089+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17789,,,-1,104,0,-1,-1,30,-1,157.240.1.23,,136,value,
25,facebook,2019-10-12T08:04:39.099+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,-1,99,0,-1,-1,1,-1,157.240.1.23,,101,value,
26,facebook,2019-10-12T08:04:39.133+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,103,0,-1,-1,0,-1,157.240.1.35,,105,,
27,facebook,2019-10-12T08:04:39.203+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,-1,81,0,-1,-1,11,-1,157.240.1.23,,93,value,
28,facebook,2019-10-12T08:04:39.203+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,-1,88,0,-1,-1,3,-1,157.240.1.23,,92,value,
29,facebook,2019-10-12T08:04:39.246+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,121,0,-1,-1,0,-1,157.240.1.35,,122,,
30,facebook,2019-10-12T08:04:39.458+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,83,0,-1,-1,0,-1,157.240.1.23,,84,,
31,facebook,2019-10-12T08:04:43.068+03:00,GET,https://cx.atdmt.com/?f=AYzKb4GVcKWsoqPqg244jZ9xxfF1eUzb6sJZUJIe5qOUjTYiH416ydvWLpHqi_E4sFj8IqwddVaIXZeiRKlAIxhL&c=1800773623&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,140,1,3455,3488,0,0,157.240.1.6,,3631,value,
32,facebook,2019-10-12T08:04:46.498+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47070,,,-1,116,0,-1,-1,71,-1,157.240.1.23,,189,value,
33,facebook,2019-10-12T08:04:46.593+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,109,1,8608,8631,1,0,157.240.1.35,,8743,,
34,facebook,2019-10-12T08:04:47.523+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3084,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,109,0,-1,-1,0,-1,157.240.1.35,,110,,
35,facebook,2019-10-12T08:04:47.801+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43692,,,0,190,0,8252,8279,121,0,157.240.1.35,,8593,value,
36,facebook,2019-10-12T08:04:48.017+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,-1,115,0,-1,-1,104,-1,157.240.1.23,,220,value,
37,facebook,2019-10-12T08:04:48.017+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,-1,99,0,-1,-1,92,-1,157.240.1.23,,192,value,
38,facebook,2019-10-12T08:04:48.018+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,110,0,-1,-1,49,-1,157.240.1.23,,160,value,
39,facebook,2019-10-12T08:04:48.019+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,97,0,-1,-1,0,-1,157.240.1.23,,99,value,
