,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-09-28T18:50:12.847+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1505,31919,,,196,3682,0,238,286,3,3107,157.240.1.35,,4406,,
1,facebook,2019-09-28T18:50:20.671+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,200,7355,0,101,27,1,7247,157.240.1.23,,7684,value,
2,facebook,2019-09-28T18:50:20.689+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,5,7373,0,96,27,1,7256,157.240.1.23,,7503,value,
3,facebook,2019-09-28T18:50:20.693+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,100,7376,0,96,28,0,7259,157.240.1.23,,7602,value,
4,facebook,2019-09-28T18:50:20.693+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,216,7376,0,103,28,1,7260,157.240.1.23,,7725,value,
5,facebook,2019-09-28T18:50:20.696+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,1,7380,0,115,30,1,7262,157.240.1.23,,7528,value,
6,facebook,2019-09-28T18:50:20.704+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,12,7387,0,105,29,0,7270,157.240.1.23,,7535,value,
7,facebook,2019-09-28T18:50:20.796+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,7,-1,-1,114,-1,0,-1,157.240.1.23,,122,value,
8,facebook,2019-09-28T18:50:20.819+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,1,-1,-1,111,-1,0,-1,157.240.1.23,,113,value,
9,facebook,2019-09-28T18:50:20.828+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,1,-1,-1,107,-1,0,-1,157.240.1.23,,109,value,
