,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
33,facebook,2019-10-12T15:35:55.136+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,137,0,31.13.92.36,,138,,
34,facebook,2019-10-12T15:35:55.164+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,-1,-1,7,-1,-1,101,0,31.13.92.14,,109,value,
35,facebook,2019-10-12T15:35:55.166+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,-1,-1,4,-1,-1,99,0,31.13.92.14,,104,value,
36,facebook,2019-10-12T15:35:55.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,-1,-1,107,0,31.13.92.14,,108,,
37,facebook,2019-10-12T15:35:56.156+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,-1,18,-1,-1,112,0,31.13.92.14,,131,value,
38,facebook,2019-10-12T15:35:56.203+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2032,0,1984,21,137,0,31.13.92.36,,2193,,
39,facebook,2019-10-12T15:35:56.806+03:00,GET,https://cx.atdmt.com/?f=AYw1wNwv5dKwKKHjNTvITB8hjo--TcM6d3M_3SpPiO9w9JkwhzIZFU0UBFlmKYyRh1qj3V9phlLl1ds4zJ2NJmcT&c=1099892506&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,1470,0,1445,18,149,0,31.13.92.2,,1639,value,
40,facebook,2019-10-12T15:35:59.454+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44515,,,0,4278,133,4259,0,233,0,31.13.92.36,,4647,value,
41,facebook,2019-10-12T15:35:59.727+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,0,-1,-1,106,0,31.13.92.14,,108,value,
42,facebook,2019-10-12T15:35:59.727+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,-1,74,-1,-1,102,1,31.13.92.14,,178,value,
