,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-08T15:59:27.710+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21547,,,1319,4,201,33,60,1366,0,31.13.92.36,,1665,
1,facebook,2019-10-08T15:59:32.117+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,3928,0,94,29,78,3971,0,31.13.92.14,,4175,value
2,facebook,2019-10-08T15:59:32.123+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,3935,0,102,34,3,3978,0,31.13.92.14,,4118,value
3,facebook,2019-10-08T15:59:32.131+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,3943,0,104,33,78,3986,0,31.13.92.14,,4204,value
4,facebook,2019-10-08T15:59:32.133+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,3944,0,91,29,16,3987,0,31.13.92.14,,4125,value
5,facebook,2019-10-08T15:59:32.133+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,3945,1,106,32,9,3987,0,31.13.92.14,,4137,value
6,facebook,2019-10-08T15:59:32.139+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/ur5R_WRLt-Y.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1271,,,3951,1,121,29,2,3994,0,31.13.92.14,,4149,value
7,facebook,2019-10-08T15:59:32.234+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,98,-1,1,-1,-1,31.13.92.14,,101,value
8,facebook,2019-10-08T15:59:32.248+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,-1,0,92,-1,2,-1,-1,31.13.92.14,,96,value
9,facebook,2019-10-08T15:59:32.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,0,100,-1,123,-1,-1,31.13.92.14,,225,value
