,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,facebook,2019-10-08T16:25:15.865+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=%3Ah1k723%3A8b76ic&__hsi=6745427107347240511-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570542135,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1239,,,-1,0,144,-1,-1,0,-1,31.13.92.36,,146,
1,facebook,2019-10-08T16:25:16.015+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31870,,,-1,1,206,-1,-1,100,-1,31.13.92.36,,308,
2,facebook,2019-10-08T16:25:16.237+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1412,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,1,113,129,145,0,0,31.13.92.36,,260,
3,facebook,2019-10-08T16:25:16.276+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,-1,0,128,-1,-1,13,-1,31.13.92.14,,141,
4,facebook,2019-10-08T16:25:16.277+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,-1,0,113,-1,-1,2,-1,31.13.92.14,,117,
5,facebook,2019-10-08T16:25:16.278+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,0,109,-1,-1,13,-1,31.13.92.14,,123,
6,facebook,2019-10-08T16:25:16.279+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,0,116,-1,-1,20,-1,31.13.92.14,,138,
7,facebook,2019-10-08T16:25:16.280+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,-1,0,129,-1,-1,0,-1,31.13.92.14,,130,
8,facebook,2019-10-08T16:25:16.280+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,-1,0,110,-1,-1,5,-1,31.13.92.14,,115,
9,facebook,2019-10-08T16:25:16.291+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,0,124,-1,-1,0,-1,31.13.92.36,,125,
10,facebook,2019-10-08T16:25:16.326+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1504,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,116,-1,-1,0,-1,31.13.92.36,,117,
11,facebook,2019-10-08T16:25:16.406+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,1,92,-1,-1,3,-1,31.13.92.14,,97,
12,facebook,2019-10-08T16:25:16.406+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,-1,1,86,-1,-1,3,-1,31.13.92.14,,90,
13,facebook,2019-10-08T16:25:16.411+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,0,87,-1,-1,38,-1,31.13.92.14,,127,
14,facebook,2019-10-08T16:25:16.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,-1,0,104,-1,-1,31,-1,31.13.92.14,,136,
