,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.dns,timings.wait,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
28,facebook,2019-10-11T14:12:25.530+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,-1,0,-1,84,9,-1,-1,157.240.1.23,,94,value,
29,facebook,2019-10-11T14:12:25.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,-1,0,-1,91,11,-1,-1,157.240.1.23,,103,value,
30,facebook,2019-10-11T14:12:25.581+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,112,0,-1,-1,157.240.1.35,,114,,
31,facebook,2019-10-11T14:12:25.638+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,-1,89,0,-1,-1,157.240.1.23,,90,,
32,facebook,2019-10-11T14:12:28.087+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,-1,0,-1,108,9,-1,-1,157.240.1.23,,118,value,
33,facebook,2019-10-11T14:12:28.172+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3644,0,0,105,1,0,3679,157.240.1.35,,3787,,
34,facebook,2019-10-11T14:12:29.492+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43645,,,3829,0,23,201,101,0,3868,157.240.1.35,,4195,value,
35,facebook,2019-10-11T14:12:29.711+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,0,-1,101,0,-1,-1,157.240.1.23,,102,value,
36,facebook,2019-10-11T14:12:29.712+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,0,-1,95,15,-1,-1,157.240.1.23,,111,value,
37,facebook,2019-10-11T14:12:29.716+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,1,-1,105,52,-1,-1,157.240.1.23,,159,value,
38,facebook,2019-10-11T14:12:29.716+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,125,0,0,103,122,0,156,157.240.1.23,,382,value,
39,facebook,2019-10-11T14:12:31.418+03:00,GET,https://cx.atdmt.com/?f=AYyd5Y-4sHGG_rC8eKlLZIcWWyzGah6x-MNCDdZSv2JRZMaDfic-Xp4ZozlyDT_mY8jE6ddx49bTL1XQFPldnNjE&c=1956225212&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,5663,0,16,203,0,0,5692,157.240.1.6,,5914,value,
40,facebook,2019-10-11T14:12:31.767+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1980,0,40,103,1,0,2013,216.58.205.228,,2160,,
41,facebook,2019-10-11T14:12:31.973+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,0,-1,114,238,-1,-1,157.240.1.23,,353,value,
42,facebook,2019-10-11T14:12:31.974+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,0,-1,138,13,-1,-1,157.240.1.23,,152,value,
43,facebook,2019-10-11T14:12:31.975+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,-1,0,-1,94,4,-1,-1,157.240.1.23,,98,value,
44,facebook,2019-10-11T14:12:31.976+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,0,-1,94,67,-1,-1,157.240.1.23,,163,value,
45,facebook,2019-10-11T14:12:33.670+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3087,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,1,-1,122,0,-1,-1,157.240.1.35,,124,,
46,facebook,2019-10-11T14:12:36.783+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,4859,0,1,106,140,0,4890,172.217.22.35,,5138,,
47,facebook,2019-10-11T14:12:37.054+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=gbpqv2j5miyt,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9644,,,-1,0,-1,108,26,-1,-1,216.58.205.228,,135,value,
48,facebook,2019-10-11T14:12:37.211+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,-1,1,-1,98,66,-1,-1,172.217.22.35,,166,,
49,facebook,2019-10-11T14:12:37.369+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,117,0,0,87,159,0,155,172.217.22.35,,403,,
50,facebook,2019-10-11T14:12:37.645+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,-1,0,-1,91,5,-1,-1,216.58.205.228,,98,,
51,facebook,2019-10-11T14:12:37.746+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=pugm9g5d1ewm,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1122,,,-1,0,-1,97,1,-1,-1,216.58.205.228,,98,value,
52,facebook,2019-10-11T14:12:37.795+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,111,0,0,90,0,0,145,216.58.205.228,,237,value,
53,facebook,2019-10-11T14:12:37.919+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=v0ym3m%3Abmr4ft%3Al4tf0v&__hsi=6746506222867188497-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570793386,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,157.240.1.35,,0,value,No response received
54,facebook,2019-10-11T14:12:37.929+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,172.217.22.35,,0,,No response received
