,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T15:06:34.896+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31708,,,3,2782,224,69,2824,95,0,31.13.92.36,,3216,,
1,facebook,2019-10-12T15:06:36.424+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/wK5C20bCw3h.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39766,,,1,1078,115,24,1116,74,0,31.13.92.14,,1331,value,
2,facebook,2019-10-12T15:06:36.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,1098,103,29,1136,15,0,31.13.92.14,,1285,value,
3,facebook,2019-10-12T15:06:36.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,0,1107,124,23,1138,64,0,31.13.92.14,,1351,value,
4,facebook,2019-10-12T15:06:36.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,1,1117,95,23,1148,81,0,31.13.92.14,,1350,value,
5,facebook,2019-10-12T15:06:36.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,1110,120,28,1148,0,0,31.13.92.14,,1299,value,
6,facebook,2019-10-12T15:06:36.455+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,1110,109,24,1149,28,0,31.13.92.14,,1313,value,
7,facebook,2019-10-12T15:06:36.596+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,1,-1,93,-1,-1,11,-1,31.13.92.14,,105,value,
8,facebook,2019-10-12T15:06:36.596+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,0,-1,96,-1,-1,127,-1,31.13.92.14,,224,value,
9,facebook,2019-10-12T15:06:36.815+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,1,180,90,0,209,72,0,31.13.92.14,,373,,
10,facebook,2019-10-12T15:06:36.830+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,191,106,0,212,1,0,31.13.92.14,,321,,
11,facebook,2019-10-12T15:06:36.956+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,0,-1,96,-1,-1,155,-1,31.13.92.14,,252,,
12,facebook,2019-10-12T15:06:36.994+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,0,-1,92,-1,-1,8,-1,31.13.92.14,,101,,
13,facebook,2019-10-12T15:06:37.104+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,143,100,0,183,1,0,31.13.92.14,,287,,
14,facebook,2019-10-12T15:06:37.105+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,-1,91,-1,-1,12,-1,31.13.92.14,,105,,
15,facebook,2019-10-12T15:06:37.136+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y1/l/he_IL/K4FWtS53aRe.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348170,,,0,-1,108,-1,-1,154,-1,31.13.92.14,,263,value,
16,facebook,2019-10-12T15:06:39.028+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2091,150,31,2130,1,0,31.13.92.36,,2315,,
17,facebook,2019-10-12T15:06:39.125+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,0,-1,117,-1,-1,5,-1,31.13.92.14,,124,value,
18,facebook,2019-10-12T15:06:39.126+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,0,-1,109,-1,-1,74,-1,31.13.92.14,,184,value,
19,facebook,2019-10-12T15:06:39.127+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,0,-1,120,-1,-1,30,-1,31.13.92.14,,151,value,
20,facebook,2019-10-12T15:06:39.127+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,0,-1,99,-1,-1,13,-1,31.13.92.14,,113,value,
21,facebook,2019-10-12T15:06:39.129+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/y9/l/he_IL/eZ3Wzg2ia3y.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15966,,,0,-1,99,-1,-1,12,-1,31.13.92.14,,112,value,
22,facebook,2019-10-12T15:06:39.130+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,0,-1,103,-1,-1,6,-1,31.13.92.14,,110,value,
23,facebook,2019-10-12T15:06:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/JtEASjbVJQJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38506,,,0,-1,95,-1,-1,43,-1,31.13.92.14,,139,value,
24,facebook,2019-10-12T15:06:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yO/l/he_IL/GpZZ63FC-zA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4086,,,0,-1,97,-1,-1,2,-1,31.13.92.14,,99,value,
25,facebook,2019-10-12T15:06:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,0,-1,95,-1,-1,2,-1,31.13.92.14,,98,value,
26,facebook,2019-10-12T15:06:39.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yY/l/he_IL/GgxDu0f-RIy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17766,,,0,-1,100,-1,-1,6,-1,31.13.92.14,,108,value,
27,facebook,2019-10-12T15:06:39.274+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,126,-1,-1,0,-1,31.13.92.36,,128,,
28,facebook,2019-10-12T15:06:39.282+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,-1,98,-1,-1,2,-1,31.13.92.14,,101,value,
29,facebook,2019-10-12T15:06:39.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,0,-1,95,-1,-1,4,-1,31.13.92.14,,100,value,
30,facebook,2019-10-12T15:06:39.373+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5874,,,0,-1,92,-1,-1,3,-1,31.13.92.14,,96,value,
31,facebook,2019-10-12T15:06:39.407+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,128,-1,-1,0,-1,31.13.92.36,,130,,
32,facebook,2019-10-12T15:06:39.530+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,93,-1,-1,0,-1,31.13.92.14,,93,,
33,facebook,2019-10-12T15:06:42.234+03:00,GET,https://cx.atdmt.com/?f=AYyVoOpu1QqlsI6Ij7OSfsvzrNpVbwSFTT4M98mQH_OTXnBK28CInVtlf-CNzwzyOdUOn5GHIe3Hip5P8Aovql6y&c=1460211721&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,2602,146,23,2619,0,0,31.13.92.2,,2791,value,
34,facebook,2019-10-12T15:06:42.375+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43676,,,0,2738,221,26,2756,122,0,31.13.92.36,,3127,value,
35,facebook,2019-10-12T15:06:42.637+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36856,,,1,-1,99,-1,-1,41,-1,31.13.92.14,,141,value,
36,facebook,2019-10-12T15:06:42.637+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,1,-1,117,-1,-1,91,-1,31.13.92.14,,210,value,
37,facebook,2019-10-12T15:06:42.639+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,113,-1,-1,0,-1,31.13.92.14,,115,value,
38,facebook,2019-10-12T15:06:42.639+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,0,148,117,0,186,124,0,31.13.92.14,,429,value,
39,facebook,2019-10-12T15:06:46.172+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,3512,107,0,3548,1,0,172.217.18.4,,3659,,
