,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,response._error
0,facebook,2019-10-08T19:47:08.930+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=%3Avpxmm8%3Atu412f&__hsi=6745479110412007473-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570554243,HTTP/1.1,value,821,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1236,,,-1,1,-1,-1,-1,0,114,157.240.1.35,,116,
1,facebook,2019-10-08T19:47:09.050+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31807,,,-1,112,-1,-1,-1,0,172,157.240.1.35,,286,
2,facebook,2019-10-08T19:47:09.307+03:00,POST,https://fbsbx.com/ajax/bz,HTTP/1.1,,508,899,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,1321,126,,,-1,0,-1,-1,-1,0,141,31.13.92.36,,143,
3,facebook,2019-10-08T19:47:09.319+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,39755,,,-1,55,-1,-1,-1,0,82,157.240.1.23,,139,
4,facebook,2019-10-08T19:47:09.319+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5428,,,-1,10,-1,-1,-1,0,100,157.240.1.23,,111,
5,facebook,2019-10-08T19:47:09.321+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19296,,,-1,11,-1,-1,-1,0,113,157.240.1.23,,125,
6,facebook,2019-10-08T19:47:09.321+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36688,,,-1,41,-1,-1,-1,0,112,157.240.1.23,,154,
7,facebook,2019-10-08T19:47:09.321+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,11516,,,-1,0,-1,-1,-1,0,116,157.240.1.23,,117,
8,facebook,2019-10-08T19:47:09.322+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5578,,,-1,7,-1,-1,-1,0,92,157.240.1.23,,100,
9,facebook,2019-10-08T19:47:09.326+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,2,-1,-1,-1,0,121,31.13.92.36,,124,
