,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T20:04:36.698+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31915,,,0,2904,75,2870,251,2,1,31.13.92.36,,3235,,
1,facebook,2019-10-08T20:04:39.717+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,0,2571,76,2534,104,1,21,31.13.92.14,,2775,value,
2,facebook,2019-10-08T20:04:39.717+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,2571,16,2535,103,1,22,31.13.92.14,,2714,value,
3,facebook,2019-10-08T20:04:39.719+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,0,2573,30,2545,114,1,20,31.13.92.14,,2740,value,
4,facebook,2019-10-08T20:04:39.721+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,0,2574,68,2538,126,0,27,31.13.92.14,,2797,value,
5,facebook,2019-10-08T20:04:39.732+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,0,2586,15,2549,115,0,27,31.13.92.14,,2745,value,
6,facebook,2019-10-08T20:04:39.735+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,2590,1,2552,125,0,21,31.13.92.14,,2738,value,
7,facebook,2019-10-08T20:04:39.881+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,-1,51,-1,90,0,-1,31.13.92.14,,141,value,
8,facebook,2019-10-08T20:04:39.882+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,-1,-1,71,-1,113,0,-1,31.13.92.14,,185,value,
9,facebook,2019-10-08T20:04:39.882+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,-1,-1,0,-1,147,0,-1,31.13.92.14,,148,value,
10,facebook,2019-10-08T20:04:40.107+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,215,64,192,104,1,0,31.13.92.14,,385,,
11,facebook,2019-10-08T20:04:40.123+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,217,1,192,91,1,0,31.13.92.14,,311,,
12,facebook,2019-10-08T20:04:40.231+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,134,-1,102,0,-1,31.13.92.14,,237,,
13,facebook,2019-10-08T20:04:40.284+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,-1,5,-1,131,0,-1,31.13.92.14,,137,,
14,facebook,2019-10-08T20:04:40.344+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,174,1,140,98,1,0,31.13.92.14,,275,,
15,facebook,2019-10-08T20:04:40.346+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,153,41,127,99,0,0,31.13.92.14,,295,,
16,facebook,2019-10-08T20:04:40.381+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,-1,-1,86,-1,89,0,-1,31.13.92.14,,176,value,
17,facebook,2019-10-08T20:04:40.381+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34959,,,-1,-1,87,-1,111,0,-1,31.13.92.14,,199,value,
18,facebook,2019-10-08T20:04:40.382+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yZ/l/he_IL/GqtoXrLiI4m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136856,,,-1,-1,136,-1,100,0,-1,31.13.92.14,,236,value,
19,facebook,2019-10-08T20:04:40.382+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,-1,-1,114,-1,93,0,-1,31.13.92.14,,208,value,
20,facebook,2019-10-08T20:04:44.240+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,-1,-1,73,-1,116,0,-1,31.13.92.14,,190,value,
21,facebook,2019-10-08T20:04:44.241+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,-1,26,-1,150,0,-1,31.13.92.14,,177,value,
22,facebook,2019-10-08T20:04:44.245+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,-1,16,-1,132,0,-1,31.13.92.14,,149,value,
23,facebook,2019-10-08T20:04:44.245+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,-1,-1,87,-1,138,0,-1,31.13.92.14,,227,value,
24,facebook,2019-10-08T20:04:44.247+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,-1,0,-1,162,0,-1,31.13.92.14,,163,value,
