,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T17:31:10.376+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,60480,,,-1,129,-1,-1,85,0,-1,157.240.1.23,,214,value,
19,facebook,2019-10-08T17:31:12.199+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34959,,,-1,26,-1,-1,99,0,-1,157.240.1.23,,126,value,
20,facebook,2019-10-08T17:31:12.245+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,2202,2173,142,0,32,157.240.1.35,,2378,,
21,facebook,2019-10-08T17:31:12.368+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,14075,,,-1,21,-1,-1,113,0,-1,157.240.1.23,,136,value,
22,facebook,2019-10-08T17:31:12.369+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47039,,,-1,18,-1,-1,121,0,-1,157.240.1.23,,140,value,
23,facebook,2019-10-08T17:31:12.371+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16614,,,-1,36,-1,-1,95,0,-1,157.240.1.23,,133,value,
24,facebook,2019-10-08T17:31:12.371+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,12,-1,-1,94,0,-1,157.240.1.23,,108,value,
25,facebook,2019-10-08T17:31:12.371+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,65838,,,-1,103,-1,-1,107,0,-1,157.240.1.23,,211,value,
26,facebook,2019-10-08T17:31:12.372+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,-1,21,-1,-1,90,0,-1,157.240.1.23,,112,value,
27,facebook,2019-10-08T17:31:12.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,142975,,,-1,152,-1,-1,99,0,-1,157.240.1.23,,252,value,
28,facebook,2019-10-08T17:31:12.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38982,,,-1,30,-1,-1,86,0,-1,157.240.1.23,,117,value,
29,facebook,2019-10-08T17:31:12.534+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,-1,1,-1,-1,90,0,-1,157.240.1.23,,93,value,
30,facebook,2019-10-08T17:31:12.534+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,149337,,,-1,89,-1,-1,106,0,-1,157.240.1.23,,196,value,
31,facebook,2019-10-08T17:31:12.534+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,-1,8,-1,-1,92,0,-1,157.240.1.23,,102,value,
32,facebook,2019-10-08T17:31:12.554+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,1,-1,-1,136,0,-1,31.13.92.36,,138,,
33,facebook,2019-10-08T17:31:12.589+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5737,,,-1,3,-1,-1,84,0,-1,157.240.1.23,,88,value,
34,facebook,2019-10-08T17:31:12.699+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,-1,126,0,-1,31.13.92.36,,128,,
35,facebook,2019-10-08T17:31:12.781+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,-1,-1,86,0,-1,157.240.1.23,,87,,
36,facebook,2019-10-08T17:31:15.233+03:00,GET,https://cx.atdmt.com/?f=AYzRqyYl4990S5N1hjJXckXhM13N-zMx1C7Czap1dYaFIGHM_j1E2JrEKa7W6172c7qZ13uNVvWc3hZaFbGyT_4q&c=1746189026&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,0,2212,2183,120,1,34,157.240.1.6,,2368,value,
37,facebook,2019-10-08T17:31:16.598+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44050,,,0,128,3613,3588,206,0,0,31.13.92.36,,3949,value,
38,facebook,2019-10-08T17:31:16.825+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,131,,,-1,0,-1,-1,98,0,-1,157.240.1.23,,99,value,
39,facebook,2019-10-08T17:31:16.826+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36688,,,0,67,3162,3127,91,1,0,157.240.1.23,,3322,value,
40,facebook,2019-10-08T17:31:16.829+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19296,,,-1,9,-1,-1,96,0,-1,157.240.1.23,,105,value,
41,facebook,2019-10-08T17:31:16.930+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80583,,,-1,50,-1,-1,83,0,-1,157.240.1.23,,134,value,
42,facebook,2019-10-08T17:31:18.849+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,5,2021,1992,105,0,0,172.217.18.4,,2134,,
43,facebook,2019-10-08T17:31:19.075+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,13966,,,-1,4,-1,-1,81,0,-1,157.240.1.23,,86,value,
44,facebook,2019-10-08T17:31:19.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,698,,,-1,2,-1,-1,85,0,-1,157.240.1.23,,88,value,
45,facebook,2019-10-08T17:31:19.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,34889,,,-1,12,-1,-1,95,0,-1,157.240.1.23,,107,value,
46,facebook,2019-10-08T17:31:19.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,60318,,,0,109,143,114,86,0,0,157.240.1.23,,339,value,
47,facebook,2019-10-08T17:31:19.166+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,116166,,,-1,75,-1,-1,97,0,-1,157.240.1.23,,173,value,
48,facebook,2019-10-08T17:31:19.168+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,136441,,,-1,210,-1,-1,100,0,-1,157.240.1.23,,311,value,
49,facebook,2019-10-08T17:31:19.191+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38860,,,-1,17,-1,-1,93,0,-1,157.240.1.23,,111,value,
50,facebook,2019-10-08T17:31:10.155+03:00,CONNECT,https://static.xx.fbcdn.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,10046,-1,0,0,0,157.240.1.23,,10046,,Unable to connect to host
