,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T08:30:16.419+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16592,,,-1,0,105,-1,45,-1,-1,157.240.1.23,,151,value,
19,facebook,2019-10-12T08:30:16.421+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8183,,,-1,0,115,-1,5,-1,-1,157.240.1.23,,121,value,
20,facebook,2019-10-12T08:30:16.422+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7317,,,-1,0,108,-1,3,-1,-1,157.240.1.23,,113,value,
21,facebook,2019-10-12T08:30:16.546+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y-/l/he_IL/eGwNTDKtx18.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38551,,,-1,0,88,-1,63,-1,-1,157.240.1.23,,152,value,
22,facebook,2019-10-12T08:30:16.547+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4109,,,-1,0,84,-1,5,-1,-1,157.240.1.23,,90,value,
23,facebook,2019-10-12T08:30:16.548+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4792,,,-1,0,89,-1,3,-1,-1,157.240.1.23,,92,value,
24,facebook,2019-10-12T08:30:16.565+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,120,-1,0,-1,-1,157.240.1.35,,122,,
25,facebook,2019-10-12T08:30:16.573+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17791,,,-1,0,90,-1,23,-1,-1,157.240.1.23,,114,value,
26,facebook,2019-10-12T08:30:16.622+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2375,,,-1,0,83,-1,1,-1,-1,157.240.1.23,,85,value,
27,facebook,2019-10-12T08:30:16.642+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9881,,,-1,0,89,-1,14,-1,-1,157.240.1.23,,104,value,
28,facebook,2019-10-12T08:30:16.645+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/cVS7gpEgER3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5874,,,-1,0,97,-1,4,-1,-1,157.240.1.23,,102,value,
29,facebook,2019-10-12T08:30:16.692+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,115,-1,0,-1,-1,157.240.1.35,,116,,
30,facebook,2019-10-12T08:30:16.790+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,84,-1,0,-1,-1,157.240.1.23,,85,,
31,facebook,2019-10-12T08:30:17.249+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16003,,,-1,0,97,-1,13,-1,-1,157.240.1.23,,110,value,
32,facebook,2019-10-12T08:30:17.331+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,109,1619,0,0,1648,157.240.1.35,,1760,,
33,facebook,2019-10-12T08:30:18.496+03:00,GET,https://cx.atdmt.com/?f=AYyJM6Vna-42oCCXH7VIVfKURNYt68g1ZMnwvCbzCtCB3ZSeQ4vaWuugCB8lA9JGHL-hWUrpveTARaFtNmMYvczP&c=2097484523&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,27,0,132,1585,0,0,1609,157.240.1.6,,1770,value,
34,facebook,2019-10-12T08:30:20.195+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43686,,,0,0,178,3333,108,0,3353,157.240.1.35,,3641,value,
35,facebook,2019-10-12T08:30:20.400+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,-1,0,102,-1,12,-1,-1,157.240.1.23,,116,value,
36,facebook,2019-10-12T08:30:20.401+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,-1,1,97,-1,44,-1,-1,157.240.1.23,,143,value,
37,facebook,2019-10-12T08:30:20.402+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80884,,,0,1,90,113,114,0,130,157.240.1.23,,337,value,
38,facebook,2019-10-12T08:30:20.438+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,0,83,-1,0,-1,-1,157.240.1.23,,85,value,
