,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T16:01:07.853+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32155,,,1831,227,84,2,0,1873,72,31.13.92.36,,2260,,
1,facebook,2019-10-12T16:01:10.338+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,2045,128,25,1,0,2082,45,31.13.92.14,,2284,value,
2,facebook,2019-10-12T16:01:10.360+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,2058,115,25,0,0,2096,22,31.13.92.14,,2262,value,
3,facebook,2019-10-12T16:01:10.360+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,2059,109,29,0,0,2097,83,31.13.92.14,,2320,value,
4,facebook,2019-10-12T16:01:10.376+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,2084,134,26,0,0,2114,1,31.13.92.14,,2278,value,
5,facebook,2019-10-12T16:01:10.376+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,2080,100,25,0,0,2117,10,31.13.92.14,,2255,value,
6,facebook,2019-10-12T16:01:10.392+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,2099,121,28,0,0,2128,9,31.13.92.14,,2287,value,
7,facebook,2019-10-12T16:01:10.539+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,115,-1,1,-1,-1,14,31.13.92.14,,131,value,
8,facebook,2019-10-12T16:01:10.539+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,107,-1,1,-1,-1,115,31.13.92.14,,224,value,
9,facebook,2019-10-12T16:01:10.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,196,96,0,0,0,234,72,31.13.92.14,,404,,
