,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
21,facebook,2019-10-12T15:32:29.369+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yN/l/he_IL/Qj-pXyTfl25.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35437,,,52,-1,-1,118,-1,0,-1,31.13.92.14,,171,value,
22,facebook,2019-10-12T15:32:29.370+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yT/l/he_IL/TezzCtIAcN7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27565,,,9,-1,-1,159,-1,0,-1,31.13.92.14,,169,value,
23,facebook,2019-10-12T15:32:29.370+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,14,-1,-1,127,-1,0,-1,31.13.92.14,,142,value,
24,facebook,2019-10-12T15:32:29.382+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y9/l/he_IL/zCZaTXa6EOH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23546,,,36,-1,-1,117,-1,0,-1,31.13.92.14,,155,value,
25,facebook,2019-10-12T15:32:29.395+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,4550,0,133,4528,0,34,31.13.92.36,,4719,,
26,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y3/l/he_IL/5LgeP3eN4h8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191563,,,92,-1,-1,102,-1,0,-1,31.13.92.14,,195,value,
27,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yq/l/he_IL/Pvo9-g3hWm_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,13,-1,-1,99,-1,0,-1,31.13.92.14,,112,value,
28,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yG/l/he_IL/C-b9gMT4F4V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34199,,,23,-1,-1,124,-1,0,-1,31.13.92.14,,148,value,
29,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yk/l/he_IL/5NG-09tAv6E.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14310,,,23,-1,-1,112,-1,0,-1,31.13.92.14,,136,value,
30,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yG/l/he_IL/ODcLV4MNLuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45898,,,38,-1,-1,95,-1,0,-1,31.13.92.14,,134,value,
31,facebook,2019-10-12T15:32:29.541+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yn/l/he_IL/O5xuJMnk1s2.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31918,,,29,-1,-1,120,-1,0,-1,31.13.92.14,,151,value,
32,facebook,2019-10-12T15:32:29.577+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,118,-1,0,-1,31.13.92.36,,120,,
33,facebook,2019-10-12T15:32:29.673+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/y2iOX7W8OzI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5302,,,9,-1,-1,96,-1,0,-1,31.13.92.14,,106,value,
34,facebook,2019-10-12T15:32:29.703+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,2,-1,-1,93,-1,0,-1,31.13.92.14,,95,value,
35,facebook,2019-10-12T15:32:29.704+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,6,-1,-1,89,-1,0,-1,31.13.92.14,,96,value,
36,facebook,2019-10-12T15:32:29.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,2,-1,-1,99,-1,0,-1,31.13.92.14,,102,value,
37,facebook,2019-10-12T15:32:29.715+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,120,-1,0,-1,31.13.92.36,,122,,
38,facebook,2019-10-12T15:32:29.978+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,107,-1,0,-1,31.13.92.14,,108,,
39,facebook,2019-10-12T15:32:31.425+03:00,GET,https://cx.atdmt.com/?f=AYzvPFN2q2ZKUsX93emTJ0EQa6D1URZ-6Oc1CPwUA-vHuwmnAwt6dqYpdcAeHsHsh7YtoHjutfTukTp2lHZztry4&c=427151524&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,0,1364,0,147,1334,1,29,31.13.92.2,,1542,value,
40,facebook,2019-10-12T15:32:31.925+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44518,,,154,1872,0,247,1843,0,31,31.13.92.36,,2307,value,
41,facebook,2019-10-12T15:32:32.226+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,0,-1,-1,116,-1,0,-1,31.13.92.14,,117,value,
42,facebook,2019-10-12T15:32:32.227+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,32,-1,-1,95,-1,0,-1,31.13.92.14,,128,value,
43,facebook,2019-10-12T15:32:32.227+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,131,-1,-1,90,-1,0,-1,31.13.92.14,,221,value,
44,facebook,2019-10-12T15:32:32.247+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,10,-1,-1,110,-1,0,-1,31.13.92.14,,121,value,
45,facebook,2019-10-12T15:32:32.816+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,4,583,0,115,564,0,19,172.217.18.4,,722,,
46,facebook,2019-10-12T15:32:33.056+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,62,-1,-1,116,-1,0,-1,31.13.92.14,,179,value,
47,facebook,2019-10-12T15:32:33.057+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,-1,141,-1,0,-1,31.13.92.14,,142,value,
