,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
10,facebook,2019-10-12T15:07:30.668+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,191,93,0,0,1,219,0,31.13.92.14,,315,,
11,facebook,2019-10-12T15:07:30.774+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,98,-1,0,138,-1,-1,31.13.92.14,,238,,
12,facebook,2019-10-12T15:07:30.839+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,105,-1,0,5,-1,-1,31.13.92.14,,111,,
13,facebook,2019-10-12T15:07:30.937+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,133,89,0,0,1,159,0,31.13.92.14,,252,,
14,facebook,2019-10-12T15:07:30.955+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,-1,87,-1,0,8,-1,-1,31.13.92.14,,96,,
15,facebook,2019-10-12T15:07:31.005+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yX/l/he_IL/GpnDJH_Vk1f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348715,,,-1,99,-1,0,169,-1,-1,31.13.92.14,,270,value,
16,facebook,2019-10-12T15:07:31.431+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,104,-1,0,15,-1,-1,31.13.92.14,,120,value,
17,facebook,2019-10-12T15:07:31.434+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,101,-1,0,71,-1,-1,31.13.92.14,,173,value,
18,facebook,2019-10-12T15:07:31.436+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,94,-1,0,8,-1,-1,31.13.92.14,,103,value,
19,facebook,2019-10-12T15:07:31.436+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,92,-1,0,3,-1,-1,31.13.92.14,,97,value,
