,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time,response._error
0,facebook,2019-10-11T13:05:56.807+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=5y2xsg%3Axc5nbq%3A44b7sf&__hsi=6746489025180458529-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570789382,HTTP/1.1,value,825,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1232,,,-1,-1,1,0,152,-1,-1,157.240.1.35,,154,
1,facebook,2019-10-11T13:05:56.970+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31937,,,-1,-1,141,0,181,-1,-1,157.240.1.35,,323,
2,facebook,2019-10-11T13:05:57.175+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,2853,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,150,0,1,147,128,0,157.240.1.35,,299,
3,facebook,2019-10-11T13:05:57.202+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,-1,-1,2,0,77,-1,-1,157.240.1.23,,80,
4,facebook,2019-10-11T13:05:57.202+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,-1,12,0,94,-1,-1,157.240.1.23,,107,
5,facebook,2019-10-11T13:05:57.203+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,-1,-1,38,0,85,-1,-1,157.240.1.23,,124,
6,facebook,2019-10-11T13:05:57.203+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,-1,-1,1,0,103,-1,-1,157.240.1.23,,105,
7,facebook,2019-10-11T13:05:57.203+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,-1,-1,3,0,84,-1,-1,157.240.1.23,,89,
8,facebook,2019-10-11T13:05:57.212+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,-1,0,0,124,-1,-1,157.240.1.35,,126,
9,facebook,2019-10-11T13:05:57.287+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,-1,55,0,101,-1,-1,157.240.1.23,,158,
10,facebook,2019-10-11T13:05:57.300+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,6,0,90,-1,-1,157.240.1.23,,97,
11,facebook,2019-10-11T13:05:57.314+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1918,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,0,119,-1,-1,157.240.1.35,,120,
12,facebook,2019-10-11T13:05:58.907+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,-1,-1,60,0,102,-1,-1,157.240.1.23,,164,
13,facebook,2019-10-11T13:05:59.194+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yx/l/he_IL/34kUFJtPTLh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347543,,,-1,-1,167,0,99,-1,-1,157.240.1.23,,267,
14,facebook,2019-10-11T13:05:59.639+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,-1,0,0,127,-1,-1,157.240.1.35,,129,
15,facebook,2019-10-11T13:05:59.709+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,0,96,-1,-1,157.240.1.23,,97,
16,facebook,2019-10-11T13:05:59.776+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1061,55,,,-1,-1,0,0,118,-1,-1,157.240.1.35,,120,
17,facebook,2019-10-11T13:05:59.815+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43642,,,-1,-1,67,0,188,-1,-1,157.240.1.35,,256,
18,facebook,2019-10-11T13:05:59.910+03:00,GET,https://cx.atdmt.com/?f=AYzXVGjwvj6JgNH8crcQrZZ3ce9DpgVm-jRpaq_ufPXf8tBBYQeCRKWF9GihnjyqsgxrEBHSkV1jQyfCrwvJKm_W&c=1971715098&v=1&l=2,HTTP/1.1,value,652,0,,200,OK,HTTP/1.1,0,image/gif,,,389,42,,,-1,-1,0,0,176,-1,-1,157.240.1.6,,177,
19,facebook,2019-10-11T13:06:00.025+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,4100,1,0,119,4081,33,216.58.205.228,,4255,
20,facebook,2019-10-11T13:06:00.028+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,-1,-1,0,0,106,-1,-1,157.240.1.23,,107,
21,facebook,2019-10-11T13:06:00.031+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,-1,-1,17,1,87,-1,-1,157.240.1.23,,106,
22,facebook,2019-10-11T13:06:00.031+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,0,163,39,1,105,126,0,157.240.1.23,,308,
