,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T14:09:57.556+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,0,102,-1,-1,-1,-1,87,157.240.1.23,,190,value,
19,facebook,2019-10-11T14:09:57.559+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,0,95,-1,-1,-1,-1,6,157.240.1.23,,103,value,
20,facebook,2019-10-11T14:09:57.559+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,0,94,-1,-1,-1,-1,24,157.240.1.23,,119,value,
21,facebook,2019-10-11T14:09:57.559+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,0,110,-1,-1,-1,-1,3,157.240.1.23,,114,value,
22,facebook,2019-10-11T14:09:57.667+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,0,95,-1,-1,-1,-1,61,157.240.1.23,,157,value,
23,facebook,2019-10-11T14:09:57.683+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,0,101,-1,-1,-1,-1,1,157.240.1.23,,103,value,
24,facebook,2019-10-11T14:09:57.684+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,0,99,-1,-1,-1,-1,4,157.240.1.23,,104,value,
25,facebook,2019-10-11T14:09:57.685+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17789,,,0,93,-1,-1,-1,-1,23,157.240.1.23,,118,value,
26,facebook,2019-10-11T14:09:57.755+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,0,87,-1,-1,-1,-1,1,157.240.1.23,,89,value,
27,facebook,2019-10-11T14:09:57.794+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,0,87,-1,-1,-1,-1,13,157.240.1.23,,101,value,
28,facebook,2019-10-11T14:09:57.795+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yq/r/BZz23nhoIDH.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5891,,,0,86,-1,-1,-1,-1,12,157.240.1.23,,99,value,
29,facebook,2019-10-11T14:09:57.966+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,102,-1,-1,-1,-1,0,157.240.1.23,,103,,
30,facebook,2019-10-11T14:10:00.505+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,0,121,-1,-1,-1,-1,11,157.240.1.23,,134,value,
31,facebook,2019-10-11T14:10:00.553+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,110,0,3665,0,3698,3,157.240.1.35,,3813,,
32,facebook,2019-10-11T14:10:00.695+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,111,-1,-1,-1,-1,1,157.240.1.35,,114,,
33,facebook,2019-10-11T14:10:00.820+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,661,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,2,118,-1,-1,-1,-1,1,157.240.1.35,,122,,
34,facebook,2019-10-11T14:10:02.641+03:00,GET,https://cx.atdmt.com/?f=AYwzk3W3qu0_-qQIWy1imK9S5YLp_ZwZFQDN_Q_TGIcG1m3-qgzPL_KqnymIFvnJqTjk55CyzU5u3Xg0N8nidKdu&c=1182681259&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,195,62,1563,0,1594,0,157.240.1.6,,1853,value,
35,facebook,2019-10-11T14:10:02.898+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43641,,,0,200,30,1972,0,2010,108,157.240.1.35,,2351,value,
36,facebook,2019-10-11T14:10:03.142+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,1,81,-1,-1,-1,-1,0,157.240.1.23,,83,value,
37,facebook,2019-10-11T14:10:03.144+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,0,89,-1,-1,-1,-1,75,157.240.1.23,,165,value,
38,facebook,2019-10-11T14:10:03.145+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,0,95,-1,-1,-1,-1,7,157.240.1.23,,103,value,
39,facebook,2019-10-11T14:10:03.147+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,0,91,0,127,0,148,140,157.240.1.23,,381,value,
40,facebook,2019-10-11T14:10:04.789+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,111,1,1613,0,1644,3,216.58.205.228,,1761,,
41,facebook,2019-10-11T14:10:05.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,0,113,-1,-1,-1,-1,160,157.240.1.23,,274,value,
42,facebook,2019-10-11T14:10:05.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,0,109,-1,-1,-1,-1,36,157.240.1.23,,147,value,
43,facebook,2019-10-11T14:10:05.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/3oYS-Pgffbm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,702,,,0,117,-1,-1,-1,-1,0,157.240.1.23,,118,value,
44,facebook,2019-10-11T14:10:05.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,0,97,-1,-1,-1,-1,26,157.240.1.23,,123,value,
45,facebook,2019-10-11T14:10:06.393+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,3080,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,147,-1,-1,-1,-1,0,157.240.1.35,,149,,
46,facebook,2019-10-11T14:10:06.438+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,88,1,1481,0,1509,135,172.217.22.35,,1736,,
47,facebook,2019-10-11T14:10:06.687+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=xw1jR43fRSpRG88iDviKn3qM&size=normal&cb=ownvy3wdgtu5,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9639,,,0,109,-1,-1,-1,-1,14,216.58.205.228,,124,value,
48,facebook,2019-10-11T14:10:06.833+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,506,91705,,,0,86,-1,-1,-1,-1,48,172.217.22.35,,135,,
49,facebook,2019-10-11T14:10:06.973+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,92207,,,0,92,-1,-1,-1,-1,51,172.217.22.35,,144,,
50,facebook,2019-10-11T14:10:07.146+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5384,,,0,94,-1,-1,-1,-1,6,216.58.205.228,,100,,
51,facebook,2019-10-11T14:10:07.250+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=xw1jR43fRSpRG88iDviKn3qM&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=762bwuhf5cyo,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,0,101,-1,-1,-1,-1,1,216.58.205.228,,103,value,
52,facebook,2019-10-11T14:10:07.296+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=xw1jR43fRSpRG88iDviKn3qM,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,90,0,111,0,145,1,216.58.205.228,,238,value,
53,facebook,2019-10-11T14:10:07.417+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001283825&__s=yecr6u%3Aktv1gx%3Acr26w4&__hsi=6746505590290962569-0&__spin_r=1001283825&__spin_b=trunk&__spin_t=1570793239,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,157.240.1.35,,0,value,No response received
54,facebook,2019-10-11T14:10:07.426+03:00,GET,https://www.gstatic.com/recaptcha/releases/xw1jR43fRSpRG88iDviKn3qM/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,172.217.22.35,,0,,No response received
