,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T14:19:47.330+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yX/l/he_IL/0cW48Pmuor8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17228,,,116,-1,0,-1,-1,-1,26,157.240.1.23,,143,value,
19,facebook,2019-10-11T14:19:47.331+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,95,-1,0,-1,-1,-1,78,157.240.1.23,,174,value,
20,facebook,2019-10-11T14:19:47.332+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,103,-1,0,-1,-1,-1,35,157.240.1.23,,139,value,
21,facebook,2019-10-11T14:19:47.332+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,97,-1,0,-1,-1,-1,11,157.240.1.23,,109,value,
22,facebook,2019-10-11T14:19:47.332+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/y9/l/he_IL/eZ3Wzg2ia3y.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15966,,,108,-1,0,-1,-1,-1,36,157.240.1.23,,144,value,
23,facebook,2019-10-11T14:19:47.336+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,129,-1,0,-1,-1,-1,1,157.240.1.23,,131,value,
24,facebook,2019-10-11T14:19:47.493+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,90,-1,0,-1,-1,-1,30,157.240.1.23,,121,value,
25,facebook,2019-10-11T14:19:47.493+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yO/l/he_IL/GpZZ63FC-zA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4086,,,98,-1,0,-1,-1,-1,0,157.240.1.23,,99,value,
26,facebook,2019-10-11T14:19:47.493+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,94,-1,0,-1,-1,-1,2,157.240.1.23,,97,value,
27,facebook,2019-10-11T14:19:47.494+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yY/l/he_IL/GgxDu0f-RIy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17766,,,101,-1,0,-1,-1,-1,53,157.240.1.23,,155,value,
28,facebook,2019-10-11T14:19:47.494+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,93,-1,0,-1,-1,-1,1,157.240.1.23,,94,value,
29,facebook,2019-10-11T14:19:47.508+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,166,-1,0,-1,-1,-1,0,157.240.1.35,,168,,
30,facebook,2019-10-11T14:19:47.514+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,95,-1,0,-1,-1,-1,7,157.240.1.23,,103,value,
31,facebook,2019-10-11T14:19:47.595+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yW/r/pvgGi3z1Vjk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5861,,,122,-1,0,-1,-1,-1,2,157.240.1.23,,126,value,
32,facebook,2019-10-11T14:19:47.648+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,100,-1,0,-1,-1,-1,0,157.240.1.23,,102,,
33,facebook,2019-10-11T14:19:47.683+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,161,-1,0,-1,-1,-1,1,157.240.1.35,,163,,
34,facebook,2019-10-11T14:19:49.693+03:00,GET,https://cx.atdmt.com/?f=AYxP0onsuieAZwS4ssUffoto-LgOSouSf7cQfuUr4GbiRRjaQ8FwgX0yTxjvvns7epSTWs0052vqOjJ9LI7uyA2v&c=1230642590&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,179,1771,0,1,1802,0,0,157.240.1.6,,1984,value,
