,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T13:13:49.303+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,66,-1,-1,0,-1,100,-1,157.240.1.23,,167,value,
19,facebook,2019-10-11T13:13:49.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,0,-1,-1,0,-1,109,-1,157.240.1.23,,110,value,
20,facebook,2019-10-11T13:13:49.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,7,-1,-1,0,-1,107,-1,157.240.1.23,,115,value,
21,facebook,2019-10-11T13:13:49.306+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,9,-1,-1,0,-1,99,-1,157.240.1.23,,110,value,
22,facebook,2019-10-11T13:13:49.434+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,17,-1,-1,0,-1,93,-1,157.240.1.23,,110,value,
23,facebook,2019-10-11T13:13:49.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,2,-1,-1,0,-1,99,-1,157.240.1.23,,102,value,
24,facebook,2019-10-11T13:13:49.435+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,0,-1,-1,0,-1,105,-1,157.240.1.23,,105,value,
25,facebook,2019-10-11T13:13:49.436+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17789,,,26,-1,-1,0,-1,103,-1,157.240.1.23,,130,value,
26,facebook,2019-10-11T13:13:49.476+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,1,-1,-1,0,-1,80,-1,157.240.1.23,,82,value,
27,facebook,2019-10-11T13:13:49.483+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,-1,0,-1,117,-1,157.240.1.35,,119,,
28,facebook,2019-10-11T13:13:49.544+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,5,-1,-1,0,-1,87,-1,157.240.1.23,,94,value,
