,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T17:32:07.305+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31812,,,2223,33,755,2,0,2264,51,31.13.92.36,,3108,,
1,facebook,2019-10-11T17:32:10.382+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,2083,32,113,1,0,2123,101,31.13.92.14,,2372,value,
2,facebook,2019-10-11T17:32:10.396+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,2098,31,103,0,0,2135,20,31.13.92.14,,2291,value,
3,facebook,2019-10-11T17:32:10.400+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,2102,30,136,0,0,2140,73,31.13.92.14,,2380,value,
4,facebook,2019-10-11T17:32:10.403+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,2106,30,147,0,0,2144,60,31.13.92.14,,2384,value,
5,facebook,2019-10-11T17:32:10.406+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,2108,29,142,0,0,2147,4,31.13.92.14,,2324,value,
6,facebook,2019-10-11T17:32:10.412+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,2122,31,151,0,0,2152,35,31.13.92.14,,2371,value,
7,facebook,2019-10-11T17:32:10.527+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,-1,86,2,-1,-1,4,31.13.92.14,,93,value,
8,facebook,2019-10-11T17:32:10.573+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,-1,101,0,-1,-1,128,31.13.92.14,,230,value,
9,facebook,2019-10-11T17:32:10.837+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,206,0,97,0,0,229,80,31.13.92.14,,408,,
10,facebook,2019-10-11T17:32:10.844+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,210,0,95,1,0,236,1,31.13.92.14,,333,,
11,facebook,2019-10-11T17:32:10.946+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,-1,95,0,-1,-1,140,31.13.92.14,,236,,
