,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
18,facebook,2019-10-12T08:01:55.050+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,105,-1,-1,0,-1,-1,10,157.240.1.23,,116,value
19,facebook,2019-10-12T08:01:55.050+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16635,,,140,-1,-1,0,-1,-1,68,157.240.1.23,,209,value
20,facebook,2019-10-12T08:01:55.050+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16069,,,132,-1,-1,0,-1,-1,35,157.240.1.23,,168,value
21,facebook,2019-10-12T08:01:55.051+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,115,-1,-1,0,-1,-1,8,157.240.1.23,,124,value
22,facebook,2019-10-12T08:01:55.163+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/e__dq0qkm6O.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38673,,,140,-1,-1,0,-1,-1,69,157.240.1.23,,210,value
23,facebook,2019-10-12T08:01:55.171+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4122,,,96,-1,-1,0,-1,-1,34,157.240.1.23,,132,value
24,facebook,2019-10-12T08:01:55.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,123,-1,-1,0,-1,-1,2,157.240.1.23,,126,value
25,facebook,2019-10-12T08:01:55.190+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,182,-1,-1,0,-1,-1,0,157.240.1.35,,183,
26,facebook,2019-10-12T08:01:55.222+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,146,-1,-1,0,-1,-1,3,157.240.1.23,,149,value
27,facebook,2019-10-12T08:01:55.262+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,111,-1,-1,0,-1,-1,38,157.240.1.23,,149,value
28,facebook,2019-10-12T08:01:55.309+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,199,-1,-1,0,-1,-1,4,157.240.1.23,,204,value
29,facebook,2019-10-12T08:01:55.424+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,89,-1,-1,0,-1,-1,0,157.240.1.23,,90,
30,facebook,2019-10-12T08:01:58.484+03:00,GET,https://cx.atdmt.com/?f=AYy6f9EVUumxB9b72VjW4s6ks_2qb10SZeWnyiuDxOWx6vNp2gCwI1U6DSV_3W9uoffLAv8dQHNTSsI8RrFJhUe2&c=1616189381&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,139,35,3003,1,0,3030,0,157.240.1.6,,3207,value
31,facebook,2019-10-12T08:01:58.847+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47070,,,89,-1,-1,0,-1,-1,67,157.240.1.23,,157,value
32,facebook,2019-10-12T08:01:58.893+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,115,0,4509,0,0,4531,0,157.240.1.35,,4648,
