,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T18:54:45.185+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,-1,0,-1,119,-1,-1,10,31.13.92.14,,130,value,
19,facebook,2019-10-11T18:54:45.186+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,-1,0,-1,116,-1,-1,6,31.13.92.14,,124,value,
20,facebook,2019-10-11T18:54:45.186+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,0,-1,130,-1,-1,0,31.13.92.14,,132,value,
21,facebook,2019-10-11T18:54:45.312+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38526,,,-1,0,-1,105,-1,-1,27,31.13.92.14,,134,value,
22,facebook,2019-10-11T18:54:45.321+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yO/l/he_IL/GpZZ63FC-zA.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4086,,,-1,0,-1,127,-1,-1,1,31.13.92.14,,129,value,
23,facebook,2019-10-11T18:54:45.325+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yY/l/he_IL/GgxDu0f-RIy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17766,,,-1,0,-1,125,-1,-1,32,31.13.92.14,,158,value,
24,facebook,2019-10-11T18:54:45.325+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,-1,0,-1,121,-1,-1,2,31.13.92.14,,124,value,
25,facebook,2019-10-11T18:54:45.340+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,-1,198,-1,-1,0,31.13.92.36,,199,,
26,facebook,2019-10-11T18:54:45.409+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,-1,90,-1,-1,1,31.13.92.14,,92,value,
27,facebook,2019-10-11T18:54:45.460+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,-1,0,-1,97,-1,-1,4,31.13.92.14,,101,value,
