,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T13:06:45.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,0,-1,-1,85,-1,98,-1,157.240.1.23,,184,value,
19,facebook,2019-10-11T13:06:45.038+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,0,-1,-1,7,-1,94,-1,157.240.1.23,,102,value,
20,facebook,2019-10-11T13:06:45.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yH/l/he_IL/lORjA4jAIhX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16003,,,0,-1,-1,5,-1,102,-1,157.240.1.23,,108,value,
21,facebook,2019-10-11T13:06:45.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,0,-1,-1,56,-1,102,-1,157.240.1.23,,159,value,
22,facebook,2019-10-11T13:06:45.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,0,-1,-1,4,-1,90,-1,157.240.1.23,,95,value,
23,facebook,2019-10-11T13:06:45.087+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,0,0,0,929,112,912,157.240.1.35,,1044,,
24,facebook,2019-10-11T13:06:45.154+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,0,-1,-1,23,-1,82,-1,157.240.1.23,,106,value,
25,facebook,2019-10-11T13:06:45.154+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,0,-1,-1,3,-1,94,-1,157.240.1.23,,97,value,
26,facebook,2019-10-11T13:06:45.157+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,0,-1,-1,0,-1,99,-1,157.240.1.23,,100,value,
27,facebook,2019-10-11T13:06:45.176+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,0,-1,-1,37,-1,102,-1,157.240.1.23,,140,value,
