,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T19:17:00.219+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31810,,,0,92,1681,37,1626,313,2,31.13.92.36,,2128,,
1,facebook,2019-10-11T19:17:06.444+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/QIPzcGMM-wB.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39754,,,0,58,5715,26,5677,158,1,31.13.92.14,,5960,value,
2,facebook,2019-10-11T19:17:06.444+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,24,5717,23,5677,138,1,31.13.92.14,,5905,value,
3,facebook,2019-10-11T19:17:06.456+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/mNswUs5Eoxc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36705,,,0,54,5726,25,5688,152,0,31.13.92.14,,5959,value,
4,facebook,2019-10-11T19:17:06.462+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,30745,,,0,44,5735,25,5706,121,0,31.13.92.14,,5928,value,
5,facebook,2019-10-11T19:17:06.469+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,0,5741,23,5702,150,0,31.13.92.14,,5917,value,
6,facebook,2019-10-11T19:17:06.473+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,18,5746,26,5706,151,0,31.13.92.14,,5943,value,
7,facebook,2019-10-11T19:17:06.643+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,12,-1,-1,-1,95,0,31.13.92.14,,108,value,
8,facebook,2019-10-11T19:17:06.646+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yp/r/QTs4IZYXXtO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80852,,,-1,122,-1,-1,-1,91,0,31.13.92.14,,215,value,
9,facebook,2019-10-11T19:17:06.886+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,69,232,0,210,106,0,31.13.92.14,,409,,
10,facebook,2019-10-11T19:17:06.891+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,237,0,215,105,0,31.13.92.14,,345,,
11,facebook,2019-10-11T19:17:07.010+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,130,-1,-1,-1,91,0,31.13.92.14,,222,,
12,facebook,2019-10-11T19:17:07.066+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,10,-1,-1,-1,100,0,31.13.92.14,,111,,
13,facebook,2019-10-11T19:17:07.115+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,1,155,0,117,102,1,31.13.92.14,,260,,
14,facebook,2019-10-11T19:17:07.116+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,0,36,154,0,117,102,0,31.13.92.14,,294,,
15,facebook,2019-10-11T19:17:07.203+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yM/l/he_IL/yKDjRJ3j-0V.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,347826,,,-1,159,-1,-1,-1,89,0,31.13.92.14,,249,value,
16,facebook,2019-10-11T19:17:07.601+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yP/l/he_IL/mXPf-qaonmW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17237,,,-1,7,-1,-1,-1,95,0,31.13.92.14,,103,value,
17,facebook,2019-10-11T19:17:07.602+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yA/l/he_IL/kHUreyQUpkB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47012,,,-1,75,-1,-1,-1,111,0,31.13.92.14,,187,value,
18,facebook,2019-10-11T19:17:07.603+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/wRUfahZS1Ht.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16592,,,-1,21,-1,-1,-1,97,0,31.13.92.14,,119,value,
19,facebook,2019-10-11T19:17:07.603+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,-1,4,-1,-1,-1,107,0,31.13.92.14,,113,value,
20,facebook,2019-10-11T19:17:07.606+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,-1,7,-1,-1,-1,88,0,31.13.92.14,,97,value,
21,facebook,2019-10-11T19:17:07.715+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yk/l/he_IL/lTcH9-JhGK9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38577,,,-1,53,-1,-1,-1,92,0,31.13.92.14,,146,value,
22,facebook,2019-10-11T19:17:07.718+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/ya/l/he_IL/xkFUqA1-cvY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4109,,,-1,2,-1,-1,-1,93,0,31.13.92.14,,96,value,
23,facebook,2019-10-11T19:17:07.724+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4792,,,-1,3,-1,-1,-1,90,0,31.13.92.14,,94,value,
24,facebook,2019-10-11T19:17:07.728+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yo/l/he_IL/kWtGZh5PZsr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17791,,,-1,31,-1,-1,-1,95,0,31.13.92.14,,126,value,
