,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.ssl,timings.wait,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:45:57.743+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2246,,,2533,17,0,2491,220,2,43,52.1.236.43,,2817,
1,,2019-10-09T18:46:00.415+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61699,,,2334,137,0,2305,101,1,32,13.226.6.196,,2608,
2,,2019-10-09T18:46:00.416+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25480,,,2336,79,0,2317,113,1,32,13.226.6.196,,2562,
3,,2019-10-09T18:46:00.416+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,292564,,,2336,303,0,2307,111,0,33,13.226.6.196,,2785,
4,,2019-10-09T18:46:00.416+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,314477,,,2337,279,0,2317,100,0,32,13.226.6.196,,2750,
5,,2019-10-09T18:46:01.151+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570635961145,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1206,,,-1,23,-1,-1,170,1,-1,52.1.236.43,,194,value
6,,2019-10-09T18:46:01.212+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,232,,,-1,0,-1,-1,93,0,-1,13.226.6.196,,94,
7,,2019-10-09T18:46:01.212+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,-1,4,-1,-1,92,0,-1,13.226.6.196,,98,
8,,2019-10-09T18:46:01.215+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,-1,1,-1,-1,83,0,-1,13.226.6.196,,86,
9,,2019-10-09T18:46:01.217+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,-1,1,-1,-1,92,0,-1,13.226.6.196,,95,
