,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:18:25.495+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,1,178,2,4132,0,142,4172,209.95.52.192,,4497,
1,,2019-10-09T18:18:25.849+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,-1,163,2,-1,-1,392,-1,209.95.52.192,,558,
2,,2019-10-09T18:18:26.060+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,0,173,1,282,0,1,314,209.95.52.192,,490,
3,,2019-10-09T18:18:26.060+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,162,2,283,0,247,316,209.95.52.192,,729,
4,,2019-10-09T18:18:26.061+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,0,154,3,283,0,2,312,209.95.52.192,,472,
5,,2019-10-09T18:18:26.063+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,0,168,3,283,0,384,316,209.95.52.192,,873,
6,,2019-10-09T18:18:26.136+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,0,158,0,257,0,258,286,209.95.52.192,,705,
7,,2019-10-09T18:18:26.484+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,-1,159,0,-1,-1,0,-1,209.95.52.192,,160,
8,,2019-10-09T18:18:26.628+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,-1,167,0,-1,-1,14,-1,209.95.52.192,,181,
9,,2019-10-09T18:18:26.815+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,-1,152,0,-1,-1,0,-1,209.95.52.192,,153,
10,,2019-10-09T18:18:26.973+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,-1,175,0,-1,-1,133,-1,209.95.52.192,,308,
11,,2019-10-09T18:18:27.290+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,-1,162,0,-1,-1,372,-1,209.95.52.192,,535,
12,,2019-10-09T18:18:27.831+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,-1,161,0,-1,-1,4,-1,209.95.52.192,,166,
13,,2019-10-09T18:18:27.987+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,25,154,0,2199,0,240,2217,104.19.196.151,,2638,
14,,2019-10-09T18:18:28.001+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,-1,152,0,-1,-1,6,-1,209.95.52.192,,159,
15,,2019-10-09T18:18:28.165+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,-1,157,0,-1,-1,452,-1,209.95.52.192,,610,
16,,2019-10-09T18:18:28.308+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33951,,,0,87,0,1719,0,66,1745,172.217.22.10,,1901,
17,,2019-10-09T18:18:28.742+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,672,77160,,,0,94,1,192,0,461,215,104.19.196.151,,771,value
18,,2019-10-09T18:18:28.779+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,-1,153,0,-1,-1,375,-1,209.95.52.192,,529,
19,,2019-10-09T18:18:29.957+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,28,110,0,1508,0,38,1535,216.58.206.14,,1714,
20,,2019-10-09T18:18:30.189+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=1170972491&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=231339521&gjid=1852720972&cid=671126489.1570634310&tid=UA-11262935-5&_gid=1208359995.1570634310&_r=1&z=480743863,HTTP/1.1,723,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=671126489.1570634310&jid=231339521&_gid=1208359995.1570634310&gjid=1852720972&_v=j79&z=480743863,644,417,,,-1,102,0,-1,-1,1,-1,216.58.206.14,,105,value
21,,2019-10-09T18:18:32.623+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=671126489.1570634310&jid=231339521&_gid=1208359995.1570634310&gjid=1852720972&_v=j79&z=480743863,HTTP/1.1,532,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=671126489.1570634310&jid=231339521&_v=j79&z=480743863,672,364,,,32,104,0,2263,0,1,2281,74.125.140.155,,2421,value
