,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-09T18:02:30.504+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.js/5dda708823dc.js,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,104807,,,-1,320,-1,-1,-1,0,88,157.240.1.174,,409,
11,,2019-10-09T18:02:30.537+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.js/0133848fb6ad.js,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,28874,,,-1,186,-1,-1,-1,0,90,157.240.1.174,,277,
12,,2019-10-09T18:02:30.606+03:00,GET,https://www.instagram.com/static/bundles/metro/Polyfills.js/33e6af7a86cf.js,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,12081,,,-1,552,-1,-1,-1,0,90,157.240.1.174,,643,
13,,2019-10-09T18:02:30.798+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.js/30df47b0398d.js,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,107785,,,-1,463,-1,-1,-1,0,97,157.240.1.174,,561,
14,,2019-10-09T18:02:30.813+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.css/a9197db45b1a.css,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/css,,,349,16126,,,-1,1763,-1,-1,-1,0,145,157.240.1.174,,1909,
15,,2019-10-09T18:02:32.912+03:00,POST,https://www.instagram.com/qp/batch_fetch_web/,HTTP/1.1,725,5193,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2191,93,,,-1,0,-1,-1,-1,1,378,157.240.1.174,,381,
16,,2019-10-09T18:02:32.924+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot1.jpg/d6bf0c928b5a.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,41581,,,-1,428,-1,-1,-1,0,87,157.240.1.174,,516,
17,,2019-10-09T18:02:32.925+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot2.jpg/6f03eb85463c.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,31724,,,-1,29,-1,-1,-1,0,86,157.240.1.174,,116,
18,,2019-10-09T18:02:32.926+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot3.jpg/f0c687aa6ec2.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,23440,,,-1,261,-1,-1,-1,0,88,157.240.1.174,,351,
19,,2019-10-09T18:02:32.926+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot4.jpg/842fe5699220.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,26079,,,-1,590,-1,-1,-1,0,85,157.240.1.174,,676,
20,,2019-10-09T18:02:32.929+03:00,GET,https://www.instagram.com/static/images/homepage/screenshot5.jpg/0a2d3016f375.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,351,34240,,,-1,116,-1,-1,-1,0,106,157.240.1.174,,224,
21,,2019-10-09T18:02:33.045+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_ios_english-en.png/180ae7a0bcf7.png,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,image/png,,,349,3522,,,-1,5,-1,-1,-1,0,87,157.240.1.174,,93,
22,,2019-10-09T18:02:33.142+03:00,GET,https://www.instagram.com/static/bundles/metro/sprite_core_4f48d3d2062b.png/4f48d3d2062b.png,HTTP/1.1,601,0,,200,OK,HTTP/1.1,0,image/png,,,350,74401,,,-1,339,-1,-1,-1,0,81,157.240.1.174,,421,
23,,2019-10-09T18:02:33.159+03:00,GET,https://www.instagram.com/static/images/appstore-install-badges/badge_android_english-en.png/e9cd846dc748.png,HTTP/1.1,559,0,,200,OK,HTTP/1.1,0,image/png,,,349,9799,,,-1,6,-1,-1,-1,0,86,157.240.1.174,,93,
24,,2019-10-09T18:02:33.257+03:00,GET,https://www.instagram.com/static/images/homepage/home-phones.png/43cc71bb1b43.png,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,image/png,,,351,109678,,,-1,345,-1,-1,-1,0,89,157.240.1.174,,436,
25,,2019-10-09T18:02:33.798+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1778,,,0,2,935,32,907,0,89,157.240.1.23,,1061,
26,,2019-10-09T18:02:34.129+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=9f17e148e46c2834ceeaf51e48297d7b&ua=modern_es6,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,0,124,215,0,186,0,97,157.240.1.23,,437,value
