,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,response._error
0,,2019-10-09T16:18:33.982+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2491,9009,,,2,278,2010,35,0,24,2049,185.63.145.1,,2391,
1,,2019-10-09T16:18:35.123+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,737,14780,,,1,614,705,60,0,0,730,212.55.190.51,,1406,
2,,2019-10-09T16:18:35.135+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,744,22839,,,0,218,707,57,0,28,741,212.55.190.51,,1046,
3,,2019-10-09T16:18:35.142+03:00,GET,https://static-exp1.licdn.com/sc/h/8di1vli43lmlukk3gh2j99fn0,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,38377,,,0,210,715,57,0,127,748,212.55.190.51,,1144,
4,,2019-10-09T16:18:35.755+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,0,96,-1,-1,-1,0,-1,212.55.190.51,,97,
5,,2019-10-09T16:18:35.950+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,212.55.190.51,,0,No response received
6,,2019-10-09T16:18:35.959+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,212.55.190.51,,0,No response received
7,,2019-10-09T16:18:35.962+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,212.55.190.51,,0,No response received
