,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T16:57:35.035+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,920,4582,,,97,1275,2,794,1309,10,0,13.225.250.134,,2215,
1,,2019-10-09T16:57:35.888+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,image/png,,,621,33679,,,-1,-1,2,97,-1,69,-1,13.225.250.134,,169,
2,,2019-10-09T16:57:36.073+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,638,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,145,,,-1,-1,1,214,-1,0,-1,13.225.250.134,,216,value
3,,2019-10-09T16:57:36.296+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,image/jpeg,,,624,212953,,,-1,-1,0,88,-1,175,-1,13.225.250.134,,264,
4,,2019-10-09T16:57:37.769+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,text/css,,,620,18134,,,150,1657,1,107,1722,55,0,13.225.250.134,,2037,
5,,2019-10-09T16:57:37.785+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,482,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,5704,,,0,1187,1,105,1214,3,0,13.225.250.134,,1324,
6,,2019-10-09T16:57:37.787+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,19359,,,154,1681,1,97,1741,49,0,13.225.250.134,,2043,
7,,2019-10-09T16:57:37.944+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,20680,,,-1,-1,0,121,-1,2,-1,13.225.250.134,,124,
8,,2019-10-09T16:57:38.074+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,6874,,,-1,-1,0,92,-1,8,-1,13.225.250.134,,101,
9,,2019-10-09T16:57:38.181+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,619,2384,,,-1,-1,0,86,-1,3,-1,13.225.250.134,,90,
10,,2019-10-09T16:57:38.275+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,image/png,,,620,7489,,,-1,-1,0,94,-1,0,-1,13.225.250.134,,96,
11,,2019-10-09T16:57:38.378+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,524,0,,200,OK,HTTP/1.1,0,image/png,,,619,3758,,,-1,-1,0,94,-1,0,-1,13.225.250.134,,96,
12,,2019-10-09T16:57:38.481+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,623,112469,,,-1,-1,0,82,-1,116,-1,13.225.250.134,,199,
13,,2019-10-09T16:57:38.524+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,30399,,,5,2601,0,90,2625,69,0,172.217.16.138,,2791,
14,,2019-10-09T16:57:38.546+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33434,,,0,2428,0,92,2457,59,0,172.217.16.138,,2610,
15,,2019-10-09T16:57:38.690+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,621,59060,,,-1,-1,0,94,-1,37,-1,13.225.250.134,,131,
16,,2019-10-09T16:57:38.848+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,21,2904,0,92,2934,633,0,209.197.3.15,,3681,
17,,2019-10-09T16:57:38.960+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,26,3015,2,82,3044,1672,0,209.197.3.15,,4827,
18,,2019-10-09T16:57:41.078+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.6303103456280532,HTTP/1.1,588,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,641,20,,,-1,-1,0,220,-1,0,-1,13.225.250.134,,222,value
19,,2019-10-09T16:57:41.126+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,624,4398,,,83,2175,0,770,2194,2,0,104.25.51.33,,3052,
20,,2019-10-09T16:57:43.787+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,image/png,,,621,32561,,,-1,-1,0,94,-1,22,-1,13.225.250.134,,117,
21,,2019-10-09T16:57:43.852+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19762,,,33,4957,0,105,4987,45,0,216.58.207.72,,5171,value
22,,2019-10-09T16:57:45.710+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,4476,0,99,4506,30,0,216.58.206.14,,4636,
23,,2019-10-09T16:57:45.880+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-NG5PMVX&t=gtm1&cid=1829418277.1570629466,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,24085,,,-1,-1,0,110,-1,37,-1,216.58.206.14,,149,value
