,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:09:32.306+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,920,4582,,,93,1782,2,487,1820,13,0,13.225.250.134,,2417,,
1,,2019-10-09T18:09:32.852+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,522,0,,200,OK,HTTP/1.1,0,image/png,,,620,33679,,,-1,-1,1,98,-1,57,-1,13.225.250.134,,157,,
2,,2019-10-09T18:09:33.035+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,638,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,145,,,-1,-1,2,469,-1,0,-1,13.225.250.134,,472,value,
3,,2019-10-09T18:09:33.517+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,image/jpeg,,,623,212953,,,-1,-1,0,86,-1,266,-1,13.225.250.134,,353,,
4,,2019-10-09T18:09:35.097+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,619,30399,,,0,2201,0,99,2238,67,0,172.217.23.138,,2407,,
5,,2019-10-09T18:09:35.099+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33434,,,0,2003,0,92,2042,71,0,172.217.23.138,,2207,,
6,,2019-10-09T18:09:35.525+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,text/css,,,619,18134,,,152,2468,1,89,2511,73,0,13.224.132.135,,2828,,
7,,2019-10-09T18:09:35.526+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,482,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,5704,,,157,2453,0,90,2513,0,0,13.224.132.135,,2762,,
8,,2019-10-09T18:09:35.530+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,19359,,,0,1623,0,91,1648,72,0,13.224.132.135,,1813,,
9,,2019-10-09T18:09:35.623+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,20680,,,-1,-1,0,144,-1,2,-1,13.224.132.135,,147,,
10,,2019-10-09T18:09:35.703+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,text/javascript,,,614,6874,,,-1,-1,0,94,-1,6,-1,13.224.132.135,,101,,
11,,2019-10-09T18:09:35.777+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,618,2384,,,-1,-1,0,87,-1,0,-1,13.224.132.135,,89,,
12,,2019-10-09T18:09:35.808+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,image/png,,,619,7489,,,-1,-1,0,91,-1,0,-1,13.224.132.135,,92,,
13,,2019-10-09T18:09:35.870+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,524,0,,200,OK,HTTP/1.1,0,image/png,,,607,3758,,,-1,-1,0,91,-1,0,-1,13.224.132.135,,92,,
14,,2019-10-09T18:09:35.917+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,622,112469,,,-1,-1,0,92,-1,111,-1,13.224.132.135,,204,,
15,,2019-10-09T18:09:35.967+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,609,59060,,,-1,-1,0,109,-1,60,-1,13.224.132.135,,170,,
16,,2019-10-09T18:09:37.108+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19762,,,34,824,0,116,848,56,0,216.58.207.72,,1056,value,
17,,2019-10-09T18:09:37.911+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,37,4982,0,157,5020,1715,0,209.197.3.15,,6932,,
18,,2019-10-09T18:09:37.923+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,31,4994,0,85,5033,232,0,209.197.3.15,,5383,,
19,,2019-10-09T18:09:39.040+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,627,4398,,,85,2804,0,114,2825,1,0,104.25.50.33,,3029,,
20,,2019-10-09T18:09:41.035+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.7876167554495028,HTTP/1.1,588,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,-1,0,-1,13.225.250.134,,0,value,No response received
21,,2019-10-09T18:09:41.042+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,555,0,,200,OK,HTTP/1.1,0,image/png,,,609,32561,,,-1,-1,0,119,-1,9,-1,13.224.132.135,,129,,
22,,2019-10-09T18:09:41.079+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,3134,0,90,3163,29,0,216.58.206.14,,3285,,
