,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:30:10.045+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,429,2122,,,128,2429,120,2,0,23,2470,167.99.137.12,,2747,
1,,2019-10-09T18:30:10.230+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,109,-1,-1,2,-1,1,-1,167.99.137.12,,112,
2,,2019-10-09T18:30:10.354+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,450,1246,,,106,-1,-1,1,-1,1,-1,167.99.137.12,,110,value
3,,2019-10-09T18:30:10.438+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,127,,,103,166,0,1,0,2,192,167.99.137.12,,299,
4,,2019-10-09T18:30:14.093+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,110,3795,26,0,0,89,3822,172.217.18.2,,4051,
5,,2019-10-09T18:30:14.625+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,113,4273,83,0,0,3,4299,104.24.109.21,,4500,
6,,2019-10-09T18:30:14.681+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,94,4405,1,1,0,1,4437,216.58.207.42,,4535,value
7,,2019-10-09T18:30:14.681+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,93,4405,0,0,0,1,4438,216.58.207.42,,4535,value
8,,2019-10-09T18:30:14.961+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,107,-1,-1,0,-1,100,-1,172.217.18.2,,209,
9,,2019-10-09T18:30:15.203+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,116,-1,-1,0,-1,38,-1,172.217.18.2,,156,
10,,2019-10-09T18:30:19.618+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,114,4759,27,0,0,58,4787,192.229.233.25,,4988,
11,,2019-10-09T18:30:19.870+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,598,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,102,-1,-1,0,-1,2,-1,192.229.233.25,,106,value
12,,2019-10-09T18:30:20.054+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,88,-1,-1,12,-1,1,-1,192.229.233.25,,102,
13,,2019-10-09T18:30:20.189+03:00,GET,https://platform.twitter.com/widgets/tweet_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,12257,,,103,-1,-1,0,-1,6,-1,192.229.233.25,,111,
14,,2019-10-09T18:30:21.482+03:00,GET,https://fonts.gstatic.com/s/josefinslab/v10/lW-5wjwOK3Ps5GSJlNNkMalnqg6v.woff2,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,37264,,,92,6562,0,1,0,74,6594,172.217.21.227,,6763,
15,,2019-10-09T18:30:21.599+03:00,GET,https://fonts.gstatic.com/s/cookie/v11/syky-y18lb0tSbf9kgqS.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,14456,,,90,6678,0,1,0,32,6710,172.217.21.227,,6835,
16,,2019-10-09T18:30:22.177+03:00,GET,https://www.facebook.com/plugins/like.php?href=https%3A%2F%2Ftheuselessweb.com&width&layout=button_count&action=like&show_faces=false&share=false&height=21,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,14282,,,262,7325,0,1,0,48,7357,157.240.1.35,,7670,value
17,,2019-10-09T18:30:23.690+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,94,8799,34,1,0,29,8828,172.217.18.104,,8987,
18,,2019-10-09T18:30:23.941+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,200,8947,27,1,0,0,8979,172.217.18.2,,9209,value
19,,2019-10-09T18:30:25.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/OqOE21UvWe3.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,519,400,,,103,2942,31,0,0,0,2972,157.240.1.23,,3108,
20,,2019-10-09T18:30:25.508+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yL/l/he_IL/9IF8TchcgsZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,124295,,,91,2967,0,0,0,158,2994,157.240.1.23,,3244,value
21,,2019-10-09T18:30:25.994+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,105,11000,29,0,0,0,11031,172.217.18.2,,11168,value
22,,2019-10-09T18:30:26.478+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,86,468,0,0,0,3,496,172.217.18.2,,586,
