,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:44:48.568+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,430,2122,,,5706,125,129,2,5741,0,23,142.93.108.123,,6022,
1,,2019-10-09T17:44:48.750+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,450,1176,,,-1,114,-1,2,-1,-1,15,142.93.108.123,,131,
2,,2019-10-09T17:44:48.887+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,1246,,,-1,103,-1,1,-1,-1,0,142.93.108.123,,105,value
3,,2019-10-09T17:44:48.949+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,127,,,150,116,0,1,183,0,0,142.93.108.123,,302,
4,,2019-10-09T17:44:50.560+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,1761,142,4,0,1790,0,1,172.217.23.138,,1940,value
5,,2019-10-09T17:44:50.562+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,1762,119,4,0,1791,0,2,172.217.23.138,,1919,value
6,,2019-10-09T17:44:52.948+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,2151,116,50,0,2177,0,23,172.217.22.72,,2368,
7,,2019-10-09T17:44:53.125+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1917372200&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=1240067898&utmr=-&utmp=%2F&utmht=1570632293117&utmac=UA-35944549-1&utmcc=__utma%3D17164284.153424711.1570632293.1570632293.1570632293.1%3B%2B__utmz%3D17164284.1570632293.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=801851352&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,863,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,98,-1,0,-1,-1,0,172.217.22.72,,100,value
8,,2019-10-09T17:44:53.415+03:00,GET,https://fonts.gstatic.com/s/josefinslab/v10/lW-5wjwOK3Ps5GSJlNNkMalnqg6v.woff2,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,font/woff2,,,517,37264,,,2482,119,33,1,2539,0,98,172.217.16.131,,2793,
9,,2019-10-09T17:44:53.415+03:00,GET,https://fonts.gstatic.com/s/cookie/v11/syky-y18lb0tSbf9kgqS.woff2,HTTP/1.1,435,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,14456,,,2487,113,33,1,2545,0,48,172.217.16.131,,2742,
10,,2019-10-09T17:44:53.488+03:00,GET,https://www.facebook.com/plugins/like.php?href=https%3A%2F%2Ftheuselessweb.com&width&layout=button_count&action=like&show_faces=false&share=false&height=21,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,14285,,,2712,279,34,1,2730,0,43,31.13.92.36,,3089,value
11,,2019-10-09T17:44:54.041+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,3265,102,27,0,3292,0,68,192.229.233.25,,3491,
12,,2019-10-09T17:44:54.247+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,598,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,95,-1,0,-1,-1,15,192.229.233.25,,111,value
13,,2019-10-09T17:44:54.404+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,91,-1,0,-1,-1,1,192.229.233.25,,93,
14,,2019-10-09T17:44:54.518+03:00,GET,https://platform.twitter.com/widgets/tweet_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,12257,,,-1,96,-1,0,-1,-1,36,192.229.233.25,,133,
15,,2019-10-09T17:44:57.503+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,2686,207,0,1,2717,0,0,104.244.42.72,,2928,
16,,2019-10-09T17:44:57.718+03:00,GET,https://syndication.twitter.com/i/jot?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Ftheuselessweb.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22m%3Anocount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1570632294780%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%22708eecd%3A1570046592825%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22share%22%2C%22action%22%3A%22impression%22%7D%7D,HTTP/1.1,890,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,635,65,,,-1,202,-1,0,-1,-1,0,104.244.42.72,,204,value
17,,2019-10-09T17:44:59.295+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,10405,105,91,0,10438,0,1,104.24.109.21,,10637,
18,,2019-10-09T17:45:01.264+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/OqOE21UvWe3.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,519,400,,,7408,114,29,0,7438,0,0,31.13.92.14,,7584,
19,,2019-10-09T17:45:02.671+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,13827,122,36,0,13869,0,102,172.217.21.194,,14131,
20,,2019-10-09T17:45:02.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yL/l/he_IL/9IF8TchcgsZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,124295,,,180,112,0,0,225,0,247,31.13.92.14,,585,value
21,,2019-10-09T17:45:02.929+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,123,-1,0,-1,-1,159,172.217.21.194,,283,
22,,2019-10-09T17:45:03.220+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,143,-1,0,-1,-1,68,172.217.21.194,,211,
23,,2019-10-09T17:45:05.089+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,1553,103,0,1,1583,0,3,172.217.23.130,,1691,
24,,2019-10-09T17:45:05.102+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6141684361710958&output=html&h=280&slotname=7331917240&adk=1394705086&adf=408460107&w=500&fwrn=4&fwrnh=100&lmt=1570632303&rafmt=1&guci=2.2.0.0.2.2.0.0&format=500x280&url=https%3A%2F%2Ftheuselessweb.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570632302924&bpp=24&bdt=14197&fdt=533&idt=533&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=8458243473460&frm=20&pv=2&ga_vid=153424711.1570632293&ga_sid=1570632293&ga_hid=1240067898&ga_fc=1&iag=0&icsg=3882&dssz=12&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=145&ady=480&biw=779&bih=600&scr_x=0&scr_y=0&eid=229739147%2C229739149&oid=3&pvsid=3763000987741183&pem=215&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CaeE%7C&abl=CA&pfx=0&fu=144&bc=31&ifi=1&uci=1.vl89fsresx78&xpc=u6i8yhXJQr&p=https%3A//theuselessweb.com&dtd=568,HTTP/1.1,1411,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,200,,,2084,273,33,1,2115,0,0,172.217.23.130,,2424,value
