,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
18,,2019-10-09T18:34:43.888+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,13966,,,-1,-1,26,-1,-1,106,0,31.13.92.14,,133,value,
19,,2019-10-09T18:34:43.889+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,46984,,,-1,-1,85,-1,-1,100,0,31.13.92.14,,185,value,
20,,2019-10-09T18:34:43.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16571,,,-1,-1,20,-1,-1,114,0,31.13.92.14,,135,value,
21,,2019-10-09T18:34:43.891+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8183,,,-1,-1,11,-1,-1,101,0,31.13.92.14,,113,value,
22,,2019-10-09T18:34:43.891+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/y9/l/he_IL/eZ3Wzg2ia3y.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,15966,,,-1,-1,24,-1,-1,142,0,31.13.92.14,,167,value,
23,,2019-10-09T18:34:43.891+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7317,,,-1,-1,10,-1,-1,120,0,31.13.92.14,,131,value,
24,,2019-10-09T18:34:44.058+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38526,,,-1,-1,63,-1,-1,127,0,31.13.92.14,,191,value,
25,,2019-10-09T18:34:44.058+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/UdnQfyHoVIO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4792,,,-1,-1,10,-1,-1,101,0,31.13.92.14,,112,value,
26,,2019-10-09T18:34:44.059+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yY/l/he_IL/GgxDu0f-RIy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17766,,,-1,-1,33,-1,-1,111,0,31.13.92.14,,145,value,
27,,2019-10-09T18:34:44.059+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2375,,,-1,-1,2,-1,-1,137,0,31.13.92.14,,140,value,
28,,2019-10-09T18:34:44.062+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9881,,,-1,-1,5,-1,-1,131,0,31.13.92.14,,137,value,
29,,2019-10-09T18:34:44.078+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5711,,,-1,-1,0,-1,-1,123,0,31.13.92.14,,124,value,
30,,2019-10-09T18:34:44.080+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,-1,-1,130,0,31.13.92.36,,131,,
31,,2019-10-09T18:34:44.216+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1405,55,,,-1,-1,0,-1,-1,128,0,31.13.92.36,,130,,
32,,2019-10-09T18:34:44.277+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,31.13.92.14,,0,,No response received
33,,2019-10-09T18:34:45.825+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43564,,,1445,0,108,0,1427,225,0,157.240.1.35,,1780,value,
34,,2019-10-09T18:34:46.068+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/ovg_ouASLra.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,160,,,-1,-1,0,-1,-1,98,0,31.13.92.14,,99,value,
35,,2019-10-09T18:34:46.068+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/Cn-wqxdzqm1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80596,,,150,0,113,0,133,98,1,31.13.92.14,,363,value,
36,,2019-10-09T18:34:46.071+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19280,,,-1,-1,13,-1,-1,104,0,31.13.92.14,,118,value,
37,,2019-10-09T18:34:48.959+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,2888,0,1,0,2853,107,0,172.217.21.228,,2998,,
38,,2019-10-09T18:34:50.097+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yQ/l/0,cross/KAn3Pu9M7my.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36737,,,-1,-1,69,-1,-1,111,0,31.13.92.14,,181,value,
39,,2019-10-09T18:34:50.145+03:00,GET,https://cx.atdmt.com/?f=AYxvOPXRhkV-Mcnjgy4WMZFsm591rPJ9sGR0DBMlJXDPBo8nMP6JwfhefQqci2aRntsbs18ySYGpyFpW64CtXdwF&c=1530074837&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,5759,0,0,0,5726,162,0,157.240.1.6,,5923,value,
40,,2019-10-09T18:34:50.337+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLJe4/y-/l/he_IL/dMewGoWbznL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,347644,,,-1,-1,179,-1,-1,120,0,31.13.92.14,,300,value,
41,,2019-10-09T18:34:50.338+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,13966,,,-1,-1,14,-1,-1,101,0,31.13.92.14,,116,value,
42,,2019-10-09T18:34:50.338+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y1/l/he_IL/G2Nq2g8nC8X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38526,,,-1,-1,84,-1,-1,101,0,31.13.92.14,,186,value,
43,,2019-10-09T18:34:50.338+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/itt5OggiRv_.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,594,697,,,-1,-1,0,-1,-1,114,0,31.13.92.14,,115,value,
44,,2019-10-09T18:34:50.919+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,1840,0,147,0,1824,103,0,172.217.22.67,,2092,,
45,,2019-10-09T18:34:51.196+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=94c2lll4aws,HTTP/1.1,721,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9570,,,-1,-1,19,-1,-1,118,0,172.217.21.228,,139,value,
46,,2019-10-09T18:34:51.354+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,574,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,79,-1,-1,118,1,172.217.22.67,,199,,
47,,2019-10-09T18:34:51.541+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,560,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,182,0,172,0,125,105,1,172.217.22.67,,461,,
48,,2019-10-09T18:34:51.860+03:00,GET,https://www.google.com/js/bg/46uvcNDEDiaE4mcemndHLMTFQXltTX9IRY9oY07I4l8.js,HTTP/1.1,552,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5384,,,-1,-1,4,-1,-1,97,0,172.217.21.228,,102,,
49,,2019-10-09T18:34:51.965+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=hy9avuf4nfa0,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,-1,-1,2,-1,-1,104,0,172.217.21.228,,107,value,
50,,2019-10-09T18:34:52.013+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,564,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,150,0,1,0,119,98,0,172.217.21.228,,251,value,
51,,2019-10-09T18:34:52.090+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,-1,44,-1,-1,90,0,172.217.22.67,,136,,
52,,2019-10-09T18:34:52.131+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,94031,,,-1,-1,70,-1,-1,98,0,172.217.22.67,,169,,
53,,2019-10-09T18:34:52.269+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001272607&__s=falowk%3Agrxp14%3Aanad5x&__hsi=6745831629885408787-0&__spin_r=1001272607&__spin_b=trunk&__spin_t=1570636320,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,-1,-1,0,0,31.13.92.36,,0,value,No response received
