,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.connect,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:07:18.758+03:00,GET,https://lizardpoint.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,316,22363,,,2,1,178,1564,129,0,1515,209.95.52.192,,1875,
1,,2019-10-09T18:07:19.079+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/css/bootstrap.min.css,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,text/css,,,190,121200,,,1,-1,155,-1,309,-1,-1,209.95.52.192,,465,
2,,2019-10-09T18:07:19.333+03:00,GET,https://lizardpoint.com/shared/css/carousel.css,HTTP/1.1,431,0,,200,OK,HTTP/1.1,0,text/css,,,188,2586,,,1,0,189,318,4,0,284,209.95.52.192,,514,
3,,2019-10-09T18:07:19.336+03:00,GET,https://lizardpoint.com/shared/css/ie10-viewport-bug-workaround.css,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,text/css,,,187,433,,,1,0,190,320,1,0,293,209.95.52.192,,513,
4,,2019-10-09T18:07:19.338+03:00,GET,https://lizardpoint.com/images/new-logo-split-vert-alternate-140.png,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,image/png,,,190,85763,,,1,0,184,325,366,0,290,209.95.52.192,,878,
5,,2019-10-09T18:07:19.340+03:00,GET,https://lizardpoint.com/shared/js/registration.js?,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,45240,,,0,0,185,317,229,0,287,209.95.52.192,,733,
6,,2019-10-09T18:07:19.361+03:00,GET,https://lizardpoint.com/images/laptop500-2.jpg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,191,59575,,,1,0,174,280,357,0,254,209.95.52.192,,814,
7,,2019-10-09T18:07:19.763+03:00,POST,https://lizardpoint.com/shared/php/get-session.php,HTTP/1.1,469,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,252,5,,,0,-1,155,-1,0,-1,-1,209.95.52.192,,157,
8,,2019-10-09T18:07:19.901+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/js/bootstrap.min.js,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/javascript,,,203,37045,,,0,-1,171,-1,116,-1,-1,209.95.52.192,,288,
9,,2019-10-09T18:07:20.196+03:00,GET,https://lizardpoint.com/shared/js/ie10-viewport-bug-workaround.js,HTTP/1.1,434,0,,200,OK,HTTP/1.1,0,application/javascript,,,201,641,,,0,-1,156,-1,0,-1,-1,209.95.52.192,,157,
10,,2019-10-09T18:07:20.358+03:00,GET,https://lizardpoint.com/shared/images/stamps500.gif,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/gif,,,190,80528,,,0,-1,166,-1,136,-1,-1,209.95.52.192,,304,
11,,2019-10-09T18:07:20.669+03:00,GET,https://lizardpoint.com/images/olderstudents1200.jpg,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,image/jpeg,,,192,381692,,,0,-1,162,-1,387,-1,-1,209.95.52.192,,550,
12,,2019-10-09T18:07:21.232+03:00,GET,https://lizardpoint.com/images/trivia-globe-qmark.gif,HTTP/1.1,458,0,,200,OK,HTTP/1.1,0,image/gif,,,189,9449,,,0,-1,162,-1,3,-1,-1,209.95.52.192,,166,
13,,2019-10-09T18:07:21.404+03:00,GET,https://lizardpoint.com/images/globe-search2.gif,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,image/gif,,,190,11055,,,0,-1,160,-1,2,-1,-1,209.95.52.192,,162,
14,,2019-10-09T18:07:21.510+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js,HTTP/1.1,381,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33951,,,0,4,94,1601,70,0,1572,172.217.23.138,,1771,
15,,2019-10-09T18:07:21.570+03:00,GET,https://lizardpoint.com/images/artist-quizzes-van-gogh.gif,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,image/gif,,,190,54980,,,0,-1,163,-1,12,-1,-1,209.95.52.192,,177,
16,,2019-10-09T18:07:21.732+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css,,,662,6663,,,0,31,149,2684,237,0,2657,104.19.198.151,,3104,
17,,2019-10-09T18:07:22.272+03:00,GET,https://lizardpoint.com/bootstrap/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,font/woff2,,,191,18028,,,0,-1,171,-1,7,-1,-1,209.95.52.192,,180,
18,,2019-10-09T18:07:22.518+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,672,77160,,,0,0,100,244,462,0,201,104.19.198.151,,807,value
19,,2019-10-09T18:07:24.423+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,1,128,2276,28,0,2245,172.217.22.110,,2436,
20,,2019-10-09T18:07:24.606+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=289056865&t=pageview&_s=1&dl=https%3A%2F%2Flizardpoint.com%2F&ul=en-us&de=UTF-8&dt=Lizard%20Point%20Quizzes%20-%20Interactive%20Map%20Quizzes&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=943930272&gjid=510559342&cid=1479998931.1570633645&tid=UA-11262935-5&_gid=2043126607.1570633645&_r=1&z=49974122,HTTP/1.1,721,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=1479998931.1570633645&jid=943930272&_gid=2043126607.1570633645&gjid=510559342&_v=j79&z=49974122,643,416,,,0,-1,107,-1,1,-1,-1,172.217.22.110,,109,value
21,,2019-10-09T18:07:27.055+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-11262935-5&cid=1479998931.1570633645&jid=943930272&_gid=2043126607.1570633645&gjid=510559342&_v=j79&z=49974122,HTTP/1.1,531,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=1479998931.1570633645&jid=943930272&_v=j79&z=49974122,672,364,,,0,5,113,2321,1,0,2286,74.125.140.156,,2443,value
22,,2019-10-09T18:07:29.603+03:00,GET,https://www.google.com/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=1479998931.1570633645&jid=943930272&_v=j79&z=49974122,HTTP/1.1,487,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://www.google.co.il/ads/ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-11262935-5&cid=1479998931.1570633645&jid=943930272&_v=j79&z=49974122&slf_rd=1&random=2065453041,740,0,,,0,1,122,2420,0,0,2385,172.217.21.228,,2545,value
