,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T16:23:53.447+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,921,4582,,,14,1207,0,2,535,82,1174,13.225.250.134,,1842,,
1,,2019-10-09T16:23:54.047+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/png,,,621,33679,,,81,-1,-1,1,89,-1,-1,13.225.250.134,,172,,
2,,2019-10-09T16:23:54.248+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,639,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,145,,,0,-1,-1,0,592,-1,-1,13.225.250.134,,594,value,
3,,2019-10-09T16:23:54.847+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/jpeg,,,624,212953,,,190,-1,-1,0,90,-1,-1,13.225.250.134,,281,,
4,,2019-10-09T16:23:55.672+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,1692,1595,0,0,85,27,1561,209.197.3.15,,3402,,
5,,2019-10-09T16:23:55.673+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,688,1596,0,0,84,22,1562,209.197.3.15,,2392,,
6,,2019-10-09T16:23:56.259+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,text/css,,,620,18134,,,1,1116,0,1,142,0,1094,13.225.250.134,,1261,,
7,,2019-10-09T16:23:56.261+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,5704,,,4,2058,0,0,91,147,1979,13.225.250.134,,2303,,
8,,2019-10-09T16:23:56.263+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,19359,,,1,2059,0,0,133,149,1981,13.225.250.134,,2345,,
9,,2019-10-09T16:23:56.408+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,20680,,,37,-1,-1,0,106,-1,-1,13.225.250.134,,145,,
10,,2019-10-09T16:23:56.557+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,6874,,,7,-1,-1,0,90,-1,-1,13.225.250.134,,97,,
11,,2019-10-09T16:23:56.659+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,619,2384,,,3,-1,-1,0,87,-1,-1,13.225.250.134,,91,,
12,,2019-10-09T16:23:56.755+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,620,7489,,,0,-1,-1,0,91,-1,-1,13.225.250.134,,92,,
13,,2019-10-09T16:23:56.853+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,619,3758,,,0,-1,-1,0,88,-1,-1,13.225.250.134,,89,,
14,,2019-10-09T16:23:56.947+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,623,112469,,,122,-1,-1,0,89,-1,-1,13.225.250.134,,212,,
15,,2019-10-09T16:23:57.167+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,image/png,,,621,59060,,,56,-1,-1,0,92,-1,-1,13.225.250.134,,149,,
16,,2019-10-09T16:23:58.351+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,627,4398,,,1,944,0,0,107,84,921,104.25.51.33,,1139,,
17,,2019-10-09T16:23:58.419+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,30399,,,65,4159,0,0,102,0,4137,172.217.22.42,,4327,,
18,,2019-10-09T16:23:58.419+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33434,,,79,4367,0,0,105,0,4343,172.217.22.42,,4553,,
19,,2019-10-09T16:23:58.626+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.10306146319756171,HTTP/1.1,590,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,641,20,,,0,-1,-1,0,464,-1,-1,13.225.250.134,,466,value,
20,,2019-10-09T16:23:58.632+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,image/png,,,621,32561,,,6,-1,-1,0,100,-1,-1,13.225.250.134,,108,,
21,,2019-10-09T16:24:01.920+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,25,3146,0,0,80,45,3120,216.58.206.14,,3298,,
22,,2019-10-09T16:24:02.360+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19762,,,54,3858,0,0,109,33,3827,216.58.207.72,,4056,value,
23,,2019-10-09T16:24:02.570+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-NG5PMVX&t=gtm1&cid=524876622.1570627442,HTTP/1.1,405,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,1,0,-1,-1,216.58.206.14,,1,value,No response received
