,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.queryString.name,request.url,response._error,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,486,HTTP/1.1,GET,,https://twitter.com/,,53283,,,text/html;charset=utf-8,0,6205,HTTP/1.1,,200,OK,104.244.42.193,2019-11-01T12:14:40.079+02:00,1109,0,,662,76,111,1,633,258
1,,,0,,816,HTTP/1.1,GET,value,https://twitter.com/i/js_inst?c_name=ui_metrics,,2533,,,text/javascript; charset=utf-8,0,1148,HTTP/1.1,,200,OK,104.244.42.193,2019-11-01T12:14:40.420+02:00,978,0,,657,78,0,2,616,239
2,,,0,,417,HTTP/1.1,GET,,https://abs.twimg.com/a/1572376946/css/t1/twitter_core.bundle.css,,35309,,,text/css,0,577,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.107+02:00,840,0,,641,47,42,1,611,107
3,,,0,,419,HTTP/1.1,GET,,https://abs.twimg.com/a/1572376946/css/t1/twitter_more_1.bundle.css,,43389,,,text/css,0,577,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.107+02:00,826,0,,647,25,42,0,602,109
4,,,0,,419,HTTP/1.1,GET,,https://abs.twimg.com/a/1572376946/css/t1/twitter_more_2.bundle.css,,38631,,,text/css,0,577,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.123+02:00,875,0,,668,40,62,1,619,103
5,,,0,,395,HTTP/1.1,GET,,https://abs.twimg.com/k/en/init.en.a4f37390c5da4f3155b3.js,,180308,,,application/javascript; charset=utf-8,0,607,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.131+02:00,972,0,,668,39,163,1,627,100
6,,,0,,400,HTTP/1.1,GET,,https://abs.twimg.com/k/en/0.commons.en.06a750caea28350212ee.js,,249858,,,application/javascript; charset=utf-8,0,608,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.139+02:00,1010,0,,679,29,200,0,635,99
7,,,0,,816,HTTP/1.1,GET,value,https://twitter.com/i/js_inst?c_name=ui_metrics,,2109,,,text/javascript; charset=utf-8,0,1148,HTTP/1.1,,200,OK,104.244.42.193,2019-11-01T12:14:41.488+02:00,208,-1,,-1,-1,5,0,-1,202
8,,,0,,471,HTTP/1.1,GET,,https://abs.twimg.com/a/1572376946/font/edge-icons-Regular.woff,,25892,,,application/font-woff,0,542,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.750+02:00,386,0,,262,0,31,1,234,91
9,,,0,,405,HTTP/1.1,GET,,https://abs.twimg.com/k/en/7.pages_signup.en.6bfee475d9b7243c5db9.js,,21560,,,application/javascript; charset=utf-8,0,605,HTTP/1.1,,200,OK,93.184.220.70,2019-11-01T12:14:41.823+02:00,107,-1,,-1,-1,11,0,-1,95
10,,,0,,864,HTTP/1.1,GET,value,https://analytics.twitter.com/tpm/p?_=1572603281594,,139,,,application/json;charset=utf-8,0,591,HTTP/1.1,,200,OK,104.244.42.195,2019-11-01T12:14:42.807+02:00,899,0,,663,27,0,0,644,207
11,,,0,,382,HTTP/1.1,GET,,https://www.google-analytics.com/analytics.js,,17803,,,text/javascript,0,568,HTTP/1.1,,200,OK,216.58.207.78,2019-11-01T12:14:42.852+02:00,845,0,,723,0,27,1,691,92
12,,,0,,1062,HTTP/1.1,GET,value,https://syndication.twitter.com/i/jot/syndication?l=%7B%22_category_%22%3A%22syndicated_impression%22%2C%22event_namespace%22%3A%7B%22client%22%3A%22web%22%2C%22page%22%3A%22front%22%2C%22action%22%3A%22impression%22%7D%2C%22triggered_on%22%3A1572603282119%7D,,65,,,image/gif;charset=utf-8,0,899,HTTP/1.1,,200,OK,104.244.42.200,2019-11-01T12:14:42.973+02:00,5650,0,,828,0,1,0,800,4818
13,,,0,,719,HTTP/1.1,GET,value,https://www.google-analytics.com/r/collect?v=1&_v=j79&aip=1&a=675634322&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dr=&dp=%2Fanon%2Ffront%2Ffront&ul=en-us&de=UTF-8&dt=REDACTED&sd=24-bit&sr=1600x900&vp=1017x708&je=0&_u=YEBAAQAB~&jid=328539885&gjid=1783068322&cid=614641422.1572603283&tid=UA-30775-6&_gid=1166166746.1572603283&_r=1&z=533019974,,414,,,text/html; charset=UTF-8,0,668,HTTP/1.1,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-30775-6&cid=614641422.1572603283&jid=328539885&_gid=1166166746.1572603283&gjid=1783068322&_v=j79&z=533019974,302,Found,216.58.207.78,2019-11-01T12:14:43.002+02:00,95,-1,,-1,-1,0,0,-1,94
14,,,5087,,1013,HTTP/1.1,POST,value,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,,0,,,,0,1043,HTTP/1.1,,200,OK,104.244.42.193,2019-11-01T12:14:43.026+02:00,210,-1,,-1,-1,0,0,-1,209
15,,,4876,,1013,HTTP/1.1,POST,value,https://twitter.com/i/csp_report?a=NVQWGYLXFVZXO2LGOQ%3D%3D%3D%3D%3D%3D&ro=false,,0,,,,0,1043,HTTP/1.1,,200,OK,104.244.42.193,2019-11-01T12:14:43.102+02:00,213,-1,,-1,-1,1,0,-1,211
16,,,0,,833,HTTP/1.1,GET,,https://twitter.com/opensearch.xml,No response received,-1,,,,0,-1,unknown,,0,,104.244.42.193,2019-11-01T12:14:47.815+02:00,2,-1,,-1,-1,0,2,-1,0
17,,,0,,415,HTTP/1.1,GET,,https://abs.twimg.com/favicons/favicon.ico,No response received,-1,,,,0,-1,unknown,,0,,93.184.220.70,2019-11-01T12:14:47.842+02:00,0,-1,,-1,-1,0,0,-1,0
