,comment,pageref,request.bodySize,request.comment,request.headersSize,request.httpVersion,request.method,request.url,response.bodySize,response.comment,response.content.comment,response.content.mimeType,response.content.size,response.headersSize,response.httpVersion,response.redirectURL,response.status,response.statusText,serverIPAddress,startedDateTime,time,timings.blocked,timings.comment,timings.connect,timings.dns,timings.receive,timings.send,timings.ssl,timings.wait
0,,,0,,492,HTTP/1.1,GET,https://www.linkedin.com/,9315,,,text/html; charset=utf-8,0,2495,HTTP/1.1,,200,OK,13.107.42.14,2019-10-31T20:12:00.291+02:00,865,0,,535,14,6,1,469,308
1,,,0,,417,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/p0e6qnmi9u2gfspo9jdn5jt4,14924,,,text/css,0,737,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.416+02:00,764,0,,659,10,1,4,638,89
2,,,0,,403,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1mgt5zmqfd6dgkt8vfgxfelun,25036,,,text/javascript,0,774,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.419+02:00,771,0,,660,10,14,1,639,84
3,,,0,,403,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dk8y5buwzkcb4txrhtjmyajdw,13795,,,text/javascript,0,804,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.421+02:00,772,0,,663,17,1,0,641,88
4,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,349,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.564+02:00,16,-1,,-1,-1,0,0,-1,15
5,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,202,,,image/svg+xml,0,665,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.827+02:00,19,-1,,-1,-1,1,0,-1,17
6,,,0,,473,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,315,,,image/svg+xml,0,695,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.828+02:00,20,-1,,-1,-1,1,0,-1,17
7,,,0,,439,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/1hbr6t0oqhf2avswaaruivxtl,41762,,,image/svg+xml,0,667,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.840+02:00,42,-1,,-1,-1,18,1,-1,22
8,,,0,,439,HTTP/1.1,GET,https://static-exp1.licdn.com/sc/h/d80ave0ov78t6vlt7maud1pwd,20330,,,image/svg+xml,0,667,HTTP/1.1,,200,OK,184.29.70.124,2019-10-31T20:12:01.859+02:00,23,-1,,-1,-1,1,0,-1,21
