#
# There is insufficient memory for the Java Runtime Environment to continue.
# Native memory allocation (mmap) failed to map 261095424 bytes for committing reserved memory.
# Possible reasons:
#   The system is out of physical RAM or swap space
#   The process is running with CompressedOops enabled, and the Java Heap may be blocking the growth of the native heap
# Possible solutions:
#   Reduce memory load on the system
#   Increase physical memory or swap space
#   Check if swap backing store is full
#   Decrease Java heap size (-Xmx/-Xms)
#   Decrease number of Java threads
#   Decrease Java thread stack sizes (-Xss)
#   Set larger code cache with -XX:ReservedCodeCacheSize=
#   JVM is running with Unscaled Compressed Oops mode in which the Java heap is
#     placed in the first 4GB address space. The Java Heap base address is the
#     maximum limit for the native heap growth. Please use -XX:HeapBaseMinAddress
#     to set the Java Heap base and to place the Java Heap above 4GB virtual address.
# This output file may be truncated or incomplete.
#
#  Out of Memory Error (os_linux.cpp:2893), pid=6428, tid=6439
#
# JRE version: OpenJDK Runtime Environment (11.0.4+11) (build 11.0.4+11-post-Ubuntu-1ubuntu218.04.3)
# Java VM: OpenJDK 64-Bit Server VM (11.0.4+11-post-Ubuntu-1ubuntu218.04.3, mixed mode, sharing, tiered, compressed oops, g1 gc, linux-amd64)
# Core dump will be written. Default location: Core dumps may be processed with "/usr/share/apport/apport %p %s %c %d %P" (or dumping to /home/geco/PycharmProjects/Social_network_user_prediction/core.6428)
#

---------------  S U M M A R Y ------------

Command Line: -Dapp.name=browsermob-proxy -Dbasedir=/home/geco/PycharmProjects/Social_network_user_prediction/browsermob-proxy-2.1.4 /home/geco/PycharmProjects/Social_network_user_prediction/browsermob-proxy-2.1.4/lib/browsermob-dist-2.1.4.jar --port=8080

Host: Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz, 4 cores, 7G, Ubuntu 18.04.3 LTS
Time: Fri Dec 13 17:46:49 2019 EET elapsed time: 3512 seconds (0d 0h 58m 32s)

---------------  T H R E A D  ---------------

Current thread (0x00007fdad416c800):  VMThread "VM Thread" [stack: 0x00007fdad817e000,0x00007fdad827e000] [id=6439]

Stack: [0x00007fdad817e000,0x00007fdad827e000],  sp=0x00007fdad827bff0,  free space=1015k
Native frames: (J=compiled Java code, A=aot compiled Java code, j=interpreted, Vv=VM code, C=native code)
V  [libjvm.so+0xde4547]
V  [libjvm.so+0xde519b]
V  [libjvm.so+0x6511a5]
V  [libjvm.so+0xbbed38]
V  [libjvm.so+0xbb5ebd]
V  [libjvm.so+0x76f53f]
V  [libjvm.so+0x76f7ae]
V  [libjvm.so+0x77b820]
V  [libjvm.so+0x7f6969]
V  [libjvm.so+0x7f75c2]
V  [libjvm.so+0x7f7a29]
V  [libjvm.so+0x72de6f]
V  [libjvm.so+0x732b6a]
V  [libjvm.so+0xdf01e1]
V  [libjvm.so+0xdeeda8]
V  [libjvm.so+0xdec5e6]
V  [libjvm.so+0xdecaf0]
V  [libjvm.so+0xdecf23]
V  [libjvm.so+0xd7aeea]
V  [libjvm.so+0xbc4a5e]

VM_Operation (0x00007fd9ebb26dd0): G1CollectForAllocation, mode: safepoint, requested by thread 0x00007fda4840a800


---------------  P R O C E S S  ---------------

Threads class SMR info:
_java_thread_list=0x00007fda70129270, length=1023, elements={
0x00007fdad4012000, 0x00007fdad416f800, 0x00007fdad4171800, 0x00007fdad4176800,
0x00007fdad4179000, 0x00007fdad417b000, 0x00007fdad417d000, 0x00007fdad41b4800,
0x00007fdad41b9000, 0x00007fdad42c1800, 0x00007fdad45fe800, 0x00007fdad462a800,
0x00007fdad4626800, 0x00007fdad4627800, 0x00007fdad4629000, 0x00007fdad462d800,
0x00007fdad462f800, 0x00007fdad4631800, 0x00007fdad4633800, 0x00007fda503be000,
0x00007fda4000f000, 0x00007fda3402b000, 0x00007fda34081000, 0x00007fda40002000,
0x00007fda40003800, 0x00007fda40008000, 0x00007fda3c00a800, 0x00007fda4024e000,
0x00007fda4024f800, 0x00007fda40251000, 0x00007fda40253000, 0x00007fda40254800,
0x00007fda54002800, 0x00007fda40256800, 0x00007fda340cc800, 0x00007fda5c0ad000,
0x00007fda64001800, 0x00007fda3c025800, 0x00007fda94003800, 0x00007fda94005000,
0x00007fda9400a800, 0x00007fdaa0033000, 0x00007fdaa4001800, 0x00007fda9c005000,
0x00007fda94015000, 0x00007fda94016000, 0x00007fda94018000, 0x00007fda9401a000,
0x00007fda9401c000, 0x00007fdad4642800, 0x00007fdaa0034000, 0x000056391b6df800,
0x00007fda40271800, 0x00007fda34099800, 0x00007fda4804f000, 0x00007fda60023000,
0x00007fda5c292800, 0x00007fda6002f000, 0x00007fda60030000, 0x00007fda7000e800,
0x00007fda6c016000, 0x00007fda6002a000, 0x00007fda6002c000, 0x00007fda60008800,
0x00007fda6000a800, 0x00007fda80014000, 0x00007fda7c005800, 0x00007fda8801b000,
0x00007fda84075000, 0x00007fda6000c800, 0x00007fda5c143800, 0x00007fda4404e000,
0x00007fdaa4007800, 0x00007fdaa8004000, 0x00007fdaa4009800, 0x00007fdaa400e000,
0x00007fdab801b000, 0x00007fdad4645000, 0x00007fdaa400f800, 0x00007fda4025a000,
0x00007fdaa4011800, 0x00007fdaa4013800, 0x00007fdaa4015800, 0x00007fdaa4017800,
0x00007fda50236800, 0x00007fda48059000, 0x00007fda4c003800, 0x00007fda44054800,
0x00007fda48096000, 0x00007fda6400f800, 0x00007fda70017000, 0x00007fda64012800,
0x00007fda64013000, 0x00007fda7800f000, 0x00007fda7400a800, 0x00007fda64015000,
0x00007fda64017000, 0x00007fda64019000, 0x00007fda6401a800, 0x00007fda6401c800,
0x00007fda9019d000, 0x00007fda8406c800, 0x00007fda70019800, 0x00007fda9800b800,
0x00007fda8c004000, 0x00007fda58059000, 0x00007fdab801e800, 0x00007fdad4183800,
0x00007fdab8020800, 0x00007fdab8022000, 0x00007fda340a3000, 0x00007fda4025c000,
0x00007fdab8024000, 0x00007fdab8026000, 0x00007fdab8028000, 0x00007fdab802a000,
0x00007fdab802c000, 0x00007fda58012000, 0x00007fda44086000, 0x00007fda5023a000,
0x00007fda5400e000, 0x00007fda4c03b800, 0x00007fda4809b000, 0x00007fda74013000,
0x00007fda74015000, 0x00007fda74017000, 0x00007fda7c011800, 0x00007fda8800f800,
0x00007fda8001e800, 0x00007fda74019000, 0x00007fda7401b000, 0x00007fda7401d000,
0x00007fda7401f000, 0x00007fda9801e000, 0x00007fda9c00d800, 0x00007fda74020800,
0x00007fdaa0013800, 0x00007fda94020800, 0x00007fda80020000, 0x00007fda44084800,
0x00007fda34047000, 0x00007fda34048800, 0x00007fda3404a800, 0x00007fda3c07d000,
0x00007fda40260800, 0x00007fda480d7800, 0x00007fda3404c800, 0x00007fda3404e000,
0x00007fda58065000, 0x00007fda54011000, 0x00007fda3404f800, 0x00007fda34051800,
0x00007fda34053800, 0x00007fda70025800, 0x00007fda64025000, 0x00007fda40267000,
0x00007fda48113000, 0x00007fda7c015000, 0x00007fda7c017000, 0x00007fda7c019000,
0x00007fda88017800, 0x00007fda90a6d000, 0x00007fda8417b800, 0x00007fda7c01b000,
0x00007fda7c01c800, 0x00007fda7c01e800, 0x00007fda7c020000, 0x00007fda7c022000,
0x00007fdaa0173800, 0x00007fda9c016800, 0x00007fdaa401f000, 0x00007fda88361000,
0x00007fdab000a000, 0x00007fda5026f000, 0x00007fda3c08d800, 0x00007fda4811c000,
0x00007fda3c08e800, 0x00007fda3c090800, 0x00007fda50272800, 0x00007fda4c007800,
0x00007fda3c098800, 0x00007fda3c09a000, 0x00007fda3c09c000, 0x00007fda3c09e000,
