,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T15:57:23.643+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.cf1ddf9f83fa698602320e2608b9b233,412,116,,,30,3,135,-1,5,48,0,213.186.33.107,,223,,
1,,2019-10-09T15:57:23.888+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.cf1ddf9f83fa698602320e2608b9b233,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,446,116,,,1,0,123,-1,0,29,0,213.186.33.107,,156,value,
2,,2019-10-09T15:57:24.049+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,352,3926,,,-1,2,103,-1,2,-1,-1,213.186.33.107,,108,,
3,,2019-10-09T15:57:24.182+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,482,198,,,-1,0,102,-1,0,-1,-1,213.186.33.107,,103,,
4,,2019-10-09T15:57:24.182+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,481,931,,,-1,0,101,-1,0,-1,-1,213.186.33.107,,102,,
5,,2019-10-09T15:57:24.189+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,469,12239,,,0,0,126,-1,1,31,0,213.186.33.107,,160,value,
6,,2019-10-09T15:57:24.189+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,536,36811,,,36,1,163,-1,86,34,0,172.217.18.98,,322,,
7,,2019-10-09T15:57:24.191+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,485,197309,,,0,0,123,-1,221,28,0,213.186.33.107,,374,value,
8,,2019-10-09T15:57:27.479+03:00,GET,"https://fonts.googleapis.com/css?family=Merriweather:900&subset=latin,latin-ext",HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,431,,,38,2,105,3185,0,3219,0,172.217.23.138,,3366,value,
9,,2019-10-09T15:57:29.401+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,1726,,,35,0,154,5098,0,5141,0,104.19.198.151,,5333,,
