,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:04:46.899+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,3267,228,2,1,0,3304,17,104.154.63.26,,3554,
1,,2019-10-09T17:04:47.178+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,202,2,-1,-1,-1,1,104.154.63.26,,206,
2,,2019-10-09T17:04:47.394+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,200,1,-1,-1,-1,0,104.154.63.26,,202,
3,,2019-10-09T17:04:47.552+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,335,196,1,0,0,366,0,104.154.63.26,,565,
4,,2019-10-09T17:04:49.568+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33576,,,2352,104,0,1,0,2382,70,172.217.16.138,,2559,
5,,2019-10-09T17:04:50.599+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,3381,104,0,1,0,3417,5,172.217.23.138,,3530,value
6,,2019-10-09T17:04:50.606+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,3389,98,0,0,0,3420,6,172.217.23.138,,3526,value
7,,2019-10-09T17:04:50.613+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,3397,102,0,1,0,3432,2,172.217.23.138,,3538,value
8,,2019-10-09T17:04:50.764+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,110,0,-1,-1,-1,1,172.217.23.138,,113,value
9,,2019-10-09T17:04:52.033+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20724,,,1167,118,1,0,0,1200,48,172.217.22.3,,1368,
10,,2019-10-09T17:04:52.035+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20808,,,1168,108,0,0,0,1201,55,172.217.22.3,,1366,
11,,2019-10-09T17:04:52.036+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20872,,,1169,109,0,0,0,1202,53,172.217.22.3,,1367,
12,,2019-10-09T17:04:53.726+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,2897,120,0,33,0,2927,55,216.58.207.72,,3137,value
