,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T17:01:00.284+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,69,2,218,3099,0,17,3139,104.154.63.26,,3447,
1,,2019-10-09T17:01:00.567+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,-1,1,209,-1,-1,0,-1,104.154.63.26,,211,
2,,2019-10-09T17:01:00.785+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,-1,0,222,-1,-1,1,-1,104.154.63.26,,224,
3,,2019-10-09T17:01:01.048+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,-1,0,200,-1,-1,0,-1,104.154.63.26,,201,
4,,2019-10-09T17:01:01.793+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,5,27,105,1176,0,11,1218,172.217.23.138,,1367,value
5,,2019-10-09T17:01:01.794+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,5,29,105,1181,0,11,1218,172.217.23.138,,1370,value
6,,2019-10-09T17:01:01.826+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,3,1,105,1177,0,11,1219,172.217.23.138,,1341,value
7,,2019-10-09T17:01:03.823+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33576,,,46,0,97,3167,0,98,3203,172.217.18.170,,3447,
8,,2019-10-09T17:01:04.072+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,1,91,-1,-1,0,-1,172.217.23.138,,92,value
9,,2019-10-09T17:01:05.716+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20724,,,3,1,84,1547,0,60,1581,172.217.16.131,,1730,
10,,2019-10-09T17:01:05.721+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,517,20808,,,3,17,104,1560,0,42,1586,172.217.16.131,,1754,
11,,2019-10-09T17:01:05.721+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,20872,,,4,9,110,1560,0,38,1586,172.217.16.131,,1749,
12,,2019-10-09T17:01:06.123+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,4,0,111,2023,0,64,2047,216.58.207.72,,2228,value
