,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:13:20.322+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31837,,,2,78,220,1482,1520,78,0,157.240.1.35,,1901,,
1,,2019-10-09T18:13:21.753+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/tYxB0uLJEoC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,39759,,,1,26,133,982,1017,79,0,157.240.1.23,,1257,value,
2,,2019-10-09T18:13:21.753+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5428,,,1,27,118,982,1017,17,0,157.240.1.23,,1182,value,
3,,2019-10-09T18:13:21.771+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,19280,,,0,27,123,1006,1035,39,0,157.240.1.23,,1227,value,
4,,2019-10-09T18:13:21.773+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yQ/l/0,cross/KAn3Pu9M7my.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36737,,,0,25,94,1000,1038,77,0,157.240.1.23,,1236,value,
5,,2019-10-09T18:13:21.777+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,11516,,,0,31,130,1005,1042,1,0,157.240.1.23,,1205,value,
6,,2019-10-09T18:13:21.778+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5578,,,0,25,129,1004,1043,0,0,157.240.1.23,,1198,value,
7,,2019-10-09T18:13:21.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,16994,,,0,-1,92,-1,-1,50,-1,157.240.1.23,,143,value,
8,,2019-10-09T18:13:21.925+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/Cn-wqxdzqm1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,80596,,,0,-1,104,-1,-1,116,-1,157.240.1.23,,221,value,
9,,2019-10-09T18:13:21.925+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,7655,,,0,-1,116,-1,-1,13,-1,157.240.1.23,,130,value,
10,,2019-10-09T18:13:22.164+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,521,42565,,,1,0,89,195,222,93,0,157.240.1.23,,407,,
11,,2019-10-09T18:13:22.165+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,522,,,0,0,94,187,210,1,0,157.240.1.23,,307,,
