,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:57:25.575+03:00,GET,https://www.youtube.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,985,43053,,,840,0,3320,2,34,172,3281,172.217.22.46,,4370,,
1,,2019-10-09T18:57:25.980+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-home-page-skeleton-webp-vflFdVBW1.css,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/css,,,560,1308,,,4,0,173,1,0,99,135,172.217.22.46,,278,,
2,,2019-10-09T18:57:25.981+03:00,GET,https://www.youtube.com/yts/cssbin/www-onepick-webp-vflsYL2Tr.css,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/css,,,560,329,,,9,0,174,2,0,91,136,172.217.22.46,,277,,
3,,2019-10-09T18:57:25.983+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,15742,,,41,0,179,2,0,105,137,172.217.22.46,,327,,
4,,2019-10-09T18:57:25.986+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,814,,,3,0,174,3,0,110,138,172.217.22.46,,292,,
5,,2019-10-09T18:57:25.989+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,21439,,,50,0,172,1,0,108,139,172.217.22.46,,332,,
6,,2019-10-09T18:57:26.120+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflAh4XU9.html,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,text/html,,,614,341855,,,300,-1,-1,0,-1,99,-1,172.217.22.46,,400,,
7,,2019-10-09T18:57:26.123+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,2595,,,2,-1,-1,0,-1,102,-1,172.217.22.46,,105,,
8,,2019-10-09T18:57:26.131+03:00,GET,https://www.youtube.com/yts/jsbin/www-tampering-vflEgtWpA/www-tampering.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,3635,,,0,-1,-1,0,-1,98,-1,172.217.22.46,,99,,
9,,2019-10-09T18:57:26.139+03:00,GET,https://www.youtube.com/yts/jsbin/www-prepopulator-vfl8hLntF/www-prepopulator.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,321,,,0,-1,-1,0,-1,93,-1,172.217.22.46,,94,,
