,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,,2019-10-09T18:33:02.151+03:00,GET,https://www.linkedin.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2427,8564,,,29,2,327,2798,2837,25,0,185.63.145.1,,3222,
1,,2019-10-09T18:33:05.942+03:00,GET,https://static-exp1.licdn.com/sc/h/3j6zm0c1mstkwjrb91ltlxbh5,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,text/css,,,737,14780,,,63,1,631,3313,3339,1,0,212.55.190.51,,4036,
2,,2019-10-09T18:33:05.960+03:00,GET,https://static-exp1.licdn.com/sc/h/eziq3qqkuwxrtru4bng5hejve,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,744,22839,,,65,0,234,3324,3357,25,0,212.55.190.51,,3684,
3,,2019-10-09T18:33:05.969+03:00,GET,https://static-exp1.licdn.com/sc/h/ddho7et5nifmzos8a28j4jg6j,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript,,,774,13167,,,63,0,501,3333,3366,2,0,212.55.190.51,,3934,
4,,2019-10-09T18:33:06.621+03:00,GET,https://static-exp1.licdn.com/sc/h/dwbhts1flzdnzba22yn8887io,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,349,,,-1,0,49,-1,-1,0,-1,212.55.190.51,,50,
5,,2019-10-09T18:33:06.988+03:00,GET,https://static-exp1.licdn.com/sc/h/1fyj4hwfi29ai78rqj069u65r,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,212.55.190.51,,0,No response received
6,,2019-10-09T18:33:06.991+03:00,GET,https://static-exp1.licdn.com/sc/h/44ge8ey0omn5oqp0k388nhe7g,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,212.55.190.51,,0,No response received
7,,2019-10-09T18:33:06.994+03:00,GET,https://static-exp1.licdn.com/sc/h/3z4gbn751g6l5onl9gg9s5ckg,HTTP/1.1,448,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,0,-1,212.55.190.51,,0,No response received
