,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time
0,,2019-10-09T16:19:33.918+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=2077467717&t=pageview&_s=1&dl=https%3A%2F%2Fwww.taringa.net%2F&ul=en-us&de=UTF-8&dt=Taringa!%20-%20Inteligencia%20Colectiva%20en%20Taringa!&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=1561974037&gjid=1905840302&cid=2119601743.1570627168&tid=UA-91290-1&_gid=659442524.1570627168&_r=1&gtm=2wga20NK2W8LC&cd1=%22v7%22&z=585247107,HTTP/1.1,value,743,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-91290-1&cid=2119601743.1570627168&jid=1561974037&_gid=659442524.1570627168&gjid=1905840302&_v=j79&z=585247107,642,415,,,-1,-1,0,0,102,-1,-1,172.217.22.110,,103
1,,2019-10-09T16:19:38.360+03:00,GET,https://www.taringa.net/,HTTP/1.1,,714,0,,503,Service Unavailable,HTTP/1.1,0,text/html; charset=utf-8,,,445,1699,,,-1,-1,0,0,1121,-1,-1,104.16.249.39,,1122
