,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
16,,2019-10-09T17:10:54.415+03:00,GET,https://cdnssl.clicktale.net/www/monitor-latest.js,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,19662,,,0,782,192,0,0,362,219,96.6.249.168,,1364,,
17,,2019-10-09T17:10:55.564+03:00,GET,https://cdnssl.clicktale.net/www12/pcc/6cdf825f-4a87-4264-be5e-0d21df7f29c5.js?DeploymentConfigName=Release_20190220&Version=2,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,308,17707,,,0,2072,-1,-1,-1,217,-1,96.6.249.168,,2290,value,
18,,2019-10-09T17:10:55.869+03:00,GET,https://sb.scorecardresearch.com/beacon.js,HTTP/1.1,359,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,283,902,,,0,104,3519,35,0,0,3558,96.17.200.131,,3699,,
19,,2019-10-09T17:10:56.012+03:00,GET,https://sb.scorecardresearch.com/b?c1=2&c2=6035083&ns__t=1570630256008&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,HTTP/1.1,510,0,,302,Moved Temporarily,HTTP/1.1,0,,,https://sb.scorecardresearch.com/b2?c1=2&c2=6035083&ns__t=1570630256008&ns_c=UTF-8&cv=3.1e&c8=Movies%20%7C%20Flixster&c7=https%3A%2F%2Fwww.flixster.com%2F&c9=,663,0,,,0,100,-1,-1,-1,0,-1,96.17.200.131,,101,value,
20,,2019-10-09T17:10:56.013+03:00,GET,https://cdnssl.clicktale.net/www/WR-latest.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript,,,414,18689,,,1,851,126,0,0,237,151,96.6.249.168,,1241,,
21,,2019-10-09T17:10:56.016+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p13864403_p_v13_as.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,23404,,,0,93,3473,145,0,32,3496,13.35.198.36,,3768,,
22,,2019-10-09T17:10:56.040+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16356852_p_v13_ax.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,40503,,,0,89,3476,160,0,79,3509,13.35.198.36,,3839,,
23,,2019-10-09T17:10:56.064+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16624487_p_v13_aa.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,452,31556,,,1,91,3494,162,0,55,3532,13.35.198.36,,3842,,
24,,2019-10-09T17:10:56.066+03:00,GET,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/300x0/v2/https://flxt.tmsimg.com/assets/p16240503_p_v13_ac.jpg,HTTP/1.1,627,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,36108,,,0,131,3522,146,0,41,3548,13.35.198.36,,3869,,
25,,2019-10-09T17:10:56.087+03:00,GET,https://assets.adobedtm.com/launch-EN93d99d56746548679c2c9d24f8bc7671.min.js,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,475,45340,,,0,90,3729,33,0,63,3767,212.55.188.52,,3955,,
