,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.blocked,timings.receive,timings.connect,timings.ssl,serverIPAddress,comment,time,response._error,request.queryString.name
0,,2019-10-09T18:52:46.235+03:00,GET,https://koalabeast.com/,HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,773,3068,,,2,225,99,0,14,3250,3210,45.32.213.115,,3593,,
1,,2019-10-09T18:52:46.511+03:00,GET,https://koalabeast.com/stylesheets/normalize.css,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,414,2192,,,2,189,-1,-1,2,-1,-1,45.32.213.115,,193,,
2,,2019-10-09T18:52:46.719+03:00,GET,https://koalabeast.com/stylesheets/bootstrap.min.css,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,414,5630,,,1,202,-1,-1,1,-1,-1,45.32.213.115,,206,,
3,,2019-10-09T18:52:46.860+03:00,GET,https://koalabeast.com/stylesheets/style.css,HTTP/1.1,475,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,415,107713,,,1,333,0,0,278,331,302,45.32.213.115,,945,,
4,,2019-10-09T18:52:46.861+03:00,GET,https://koalabeast.com/compact/global-home.js,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,429,44210,,,1,345,0,0,132,336,304,45.32.213.115,,815,,
5,,2019-10-09T18:52:46.864+03:00,GET,https://koalabeast.com/images/logo.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,347,8870,,,1,182,0,0,9,339,308,45.32.213.115,,532,,
6,,2019-10-09T18:52:46.868+03:00,GET,https://koalabeast.com/images/arrowkeys.png,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,image/png,,,346,3236,,,1,189,0,0,1,341,313,45.32.213.115,,534,,
7,,2019-10-09T18:52:47.075+03:00,GET,https://koalabeast.com/images/esckey.png,HTTP/1.1,492,0,,200,OK,HTTP/1.1,0,image/png,,,346,1121,,,2,186,-1,-1,0,-1,-1,45.32.213.115,,189,,
8,,2019-10-09T18:52:47.077+03:00,GET,https://koalabeast.com/images/enterkey.png,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/png,,,346,1179,,,1,191,-1,-1,1,-1,-1,45.32.213.115,,194,,
9,,2019-10-09T18:52:47.273+03:00,GET,https://koalabeast.com/images/tkey.png,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/png,,,345,549,,,1,170,-1,-1,1,-1,-1,45.32.213.115,,172,,
