,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time
0,har_a1,2019-12-17T14:15:19.031+02:00,GET,https://www.facebook.com/pythonlang/,HTTP/1.1,863,0,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,185.60.216.35,,0
1,har_a1,2019-12-17T14:15:19.082+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,792,2125,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,185.60.216.35,,0
2,har_a1,2019-12-17T14:15:19.107+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,789,1678,,0,,unknown,0,,,,-1,-1,,No response received,,-1,-1,0,0,0,-1,-1,185.60.216.35,,0
