,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error,request.queryString.name
0,har_a0,2019-12-17T14:18:04.370+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,661,1001,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1341,0,,,-1,-1,0,81,0,-1,-1,31.13.92.36,,81,,
1,har_a0,2019-12-17T14:18:04.386+02:00,GET,https://www.facebook.com/boulderingmag/,HTTP/1.1,874,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,No response received,
2,har_a0,2019-12-17T14:18:04.424+02:00,POST,https://edge-chat.facebook.com/mqtt/pull?region=lla&sid=927950767652863&action=send,HTTP/1.1,820,347,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.10,,0,No response received,value
3,har_a0,2019-12-17T14:18:04.454+02:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,800,2393,,0,,unknown,0,,,,-1,-1,,,-1,-1,0,0,0,-1,-1,31.13.92.36,,0,No response received,
