,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,response._error
0,har_a3,2019-12-14T07:32:50.760+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,value,463,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,1,659,0,102,0,0,628,216.58.207.45,,764,
1,har_a3,2019-12-14T07:32:50.875+02:00,GET,https://www.facebook.com/,HTTP/1.1,,487,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33194,,,0,750,0,543,315,0,698,31.13.90.36,,1609,
2,har_a3,2019-12-14T07:32:51.900+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=lKy4l4ASH_sAQmvdVuZ1wI21PMjGMrbXuFtf16IzmKmipA9wfoseesZXw&_nc_ht=scontent.ftlv1-2.fna&oh=15e5f1ee2b29dc4eed309f545d8e6bf6&oe=5E7AA9E8,HTTP/1.1,value,623,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,0,189,0,53,11,0,151,213.57.23.209,,253,
3,har_a3,2019-12-14T07:32:51.903+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=xCzOXlmysUUAQmkvDQfwOcOj0F8mg1t1DVex4lQYdPj0T1f50sPGD__-A&_nc_ht=scontent.ftlv1-2.fna&oh=38faa258a53a69a4bf40b1fb8a55a739&oe=5E7A1536,HTTP/1.1,value,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,0,193,0,71,10,0,155,213.57.23.209,,275,
4,har_a3,2019-12-14T07:32:51.965+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=RDj8hhQnykcAQl79cpVX4Uodh88xch_RFSbFStFtWmpQJctZgCrC5z-1g&_nc_ht=scontent.ftlv1-2.fna&oh=2c39940c785d682265f8fac4c89d9c8f&oe=5EB13FB5,HTTP/1.1,value,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,-1,-1,0,29,8,-1,-1,213.57.23.209,,38,
5,har_a3,2019-12-14T07:32:52.161+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/bkhLxLxktoq.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,27839,,,255,443,0,94,419,0,411,31.13.90.6,,1212,
6,har_a3,2019-12-14T07:32:52.163+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5466,,,263,445,0,234,29,0,415,31.13.90.6,,973,
7,har_a3,2019-12-14T07:32:52.163+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/DUl7s2bqFTJ.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,26466,,,257,446,0,260,360,0,416,31.13.90.6,,1324,
8,har_a3,2019-12-14T07:32:52.167+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/1Oe4_bGMM7Z.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15229,,,258,449,0,131,397,0,417,31.13.90.6,,1236,
9,har_a3,2019-12-14T07:32:52.167+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/dJNKGdOw4Ma.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5697,,,263,450,0,332,35,0,419,31.13.90.6,,1082,
